Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
md Sheriff Tiraspol,17,27,41.2,6,66,540,6.0,4,4,4,0,1,,,0.67,0.67,1.33,0.67,1.33,69,27,39.1,11.5,4.5,0.06,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,1.5,4,4,0,0.0,0,76,1,0,0,Europa-League,19,2017-2018
al Skënderbeu Korçë,19,28,50.5,6,66,540,6.0,6,5,6,0,0,,,1.0,0.83,1.83,1.0,1.83,51,18,35.3,8.5,3.0,0.12,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,0.83,6,10,-4,-0.67,1,108,0,1,0,Europa-League,19,2017-2018
cz Slavia Prague,19,26,42.2,6,66,540,6.0,6,6,6,0,0,,,1.0,1.0,2.0,1.0,2.0,87,23,26.4,14.5,3.83,0.07,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,22,1.33,6,6,0,0.0,0,86,0,0,1,Europa-League,19,2017-2018
ru Spartak Moscow,16,28,61.0,2,22,180,2.0,3,3,3,0,0,,,1.5,1.5,3.0,1.5,3.0,30,7,23.3,15.0,3.5,0.1,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,5,0,9,1.5,3,4,-1,-0.5,0,32,0,0,1,Europa-League,19,2017-2018
pt Sporting CP,21,27,59.3,6,66,555,6.2,10,8,9,1,2,,,1.62,1.3,2.92,1.46,2.76,95,36,37.9,15.41,5.84,0.09,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,93,100,,,18,0,24,1.67,9,8,1,0.16,0,65,1,0,0,Europa-League,19,2017-2018
cz Viktoria Plzeň,22,29,51.0,10,110,915,10.2,18,18,18,0,0,,,1.77,1.77,3.54,1.77,3.54,124,53,42.7,12.2,5.21,0.15,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,92,100,,,30,0,40,1.9,18,11,7,0.69,0,166,0,2,0,Europa-League,19,2017-2018
es Villarreal,32,26,60.9,8,88,720,8.0,10,8,10,0,0,,,1.25,1.0,2.25,1.25,2.25,120,32,26.7,15.0,4.0,0.08,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,24,0,32,1.38,11,10,1,0.12,0,109,0,0,0,Europa-League,19,2017-2018
nl Vitesse,20,25,49.7,6,66,540,6.0,5,5,5,0,0,,,0.83,0.83,1.67,0.83,1.67,86,24,27.9,14.33,4.0,0.06,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,16,0,26,0.83,5,10,-5,-0.83,1,80,0,0,1,Europa-League,19,2017-2018
pt Vitória,24,25,46.5,6,66,540,6.0,4,4,4,0,0,,,0.67,0.67,1.33,0.67,1.33,58,14,24.1,9.67,2.33,0.07,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,0.83,5,9,-4,-0.67,0,68,0,0,0,Europa-League,19,2017-2018
ch Young Boys,22,24,52.0,6,66,540,6.0,7,6,7,0,0,,,1.17,1.0,2.17,1.17,2.17,100,27,27.0,16.67,4.5,0.07,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,14,0,28,1.0,7,8,-1,-0.17,0,105,0,0,0,Europa-League,19,2017-2018
ru Zenit,22,26,42.9,10,110,900,10.0,22,16,22,0,1,,,2.2,1.6,3.8,2.2,3.8,109,44,40.4,10.9,4.4,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,28,0,42,2.0,22,9,13,1.3,0,129,1,2,0,Europa-League,19,2017-2018
ua Zorya Luhansk,20,23,47.2,6,66,540,6.0,3,2,3,0,0,,,0.5,0.33,0.83,0.5,0.83,70,20,28.6,11.67,3.33,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,1.0,3,9,-6,-1.0,0,78,0,0,1,Europa-League,19,2017-2018
be Zulte Waregem,20,25,40.8,6,66,540,6.0,7,6,7,0,0,,,1.17,1.0,2.17,1.17,2.17,62,24,38.7,10.33,4.0,0.11,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,1.17,8,13,-5,-0.83,1,65,0,1,0,Europa-League,19,2017-2018
