Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Arthur Desmas,fr FRA,GK,Clermont Foot,27,1994,13,13,1170,13.0,26,2.00,53,30,54.7,3,4,6,3,23.1,2,2,0,0,0.0,0,4,1,18.1,0.32,-6.9,-0.53,37,137,27.0,267,49,33.3,34.6,101,47.5,38.1,85,3,3.5,5,0.38,12.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,59.1,90,13,0,,8,1.00,16,26,-10,-0.77,+0.01,16.2,19.3,-3.1,-0.24,+0.07,0,0,2,0,0,0,0,0,0,57,0,0,,Ligue-1,13,2021-2022
Ouparine Djoco,sn SEN,GK,Clermont Foot,23,1998,9,9,810,9.0,13,1.44,33,22,63.6,2,2,5,2,22.2,1,1,0,0,0.0,0,2,2,9.5,0.26,-1.5,-0.17,52,145,35.9,217,35,49.3,40.3,56,67.9,47.8,68,2,2.9,9,1.00,14.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,40.9,90,9,0,,13,0.89,6,13,-7,-0.78,-0.01,8.3,11.0,-2.8,-0.31,-0.07,0,1,2,0,0,0,0,0,1,49,0,0,,Ligue-1,13,2021-2022
Gianluigi Donnarumma,it ITA,GK,Paris S-G,22,1999,9,9,810,9.0,6,0.67,28,21,78.6,7,1,1,4,44.4,0,0,0,0,,0,1,0,8.1,0.30,+2.1,+0.23,18,34,52.9,200,65,13.0,23.6,51,15.7,22.1,55,3,5.5,13,1.44,17.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,40.9,90,9,0,,8,2.44,17,6,+11,+1.22,-0.09,19.4,9.2,+10.2,+1.14,+0.39,0,0,1,0,0,0,0,0,0,45,0,0,,Ligue-1,13,2021-2022
Wuilker Faríñez,ve VEN,GK,Lens,23,1998,3,2,225,2.5,5,2.00,11,7,63.6,1,0,1,1,50.0,1,1,0,0,0.0,0,0,0,3.2,0.20,-1.8,-0.74,2,8,25.0,43,12,16.3,25.0,19,5.3,18.6,20,0,0.0,5,2.00,16.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,75,11.4,90,2,1,45,17,1.00,4,5,-1,-0.40,-0.71,4.4,3.1,+1.3,+0.54,+0.14,0,0,0,0,0,0,0,0,0,12,0,0,,Ligue-1,13,2021-2022
Gauthier Gallon,fr FRA,GK,Troyes,28,1993,22,22,1980,22.0,31,1.41,95,70,72.6,5,5,12,4,18.2,5,5,0,0,0.0,0,6,2,28.9,0.25,-0.1,-0.01,173,383,45.2,610,119,45.2,38.1,174,61.5,44.4,198,14,7.1,12,0.55,12.7,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,22,0,,0,0.91,20,31,-11,-0.50,,21.5,31.6,-10.1,-0.46,,0,0,5,0,0,0,0,0,0,111,0,0,,Ligue-1,13,2021-2022
Alfred Gomis,sn SEN,GK,Rennes,28,1993,18,18,1620,18.0,16,0.89,47,32,72.3,9,4,5,8,44.4,3,3,0,0,0.0,0,2,0,16.9,0.33,+0.9,+0.05,93,203,45.8,426,91,29.8,31.5,114,66.7,50.1,171,9,5.3,12,0.67,14.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,81.8,90,18,0,,0,1.72,34,16,+18,+1.00,+0.50,29.3,20.5,+8.8,+0.49,-0.38,0,0,3,0,0,0,0,0,0,113,0,0,,Ligue-1,13,2021-2022
Ivo Grbić,hr CRO,GK,Lille,26,1996,20,20,1800,20.0,23,1.15,81,61,74.1,8,7,5,2,10.0,2,2,0,0,0.0,1,5,1,23.3,0.27,+1.3,+0.07,109,282,38.7,412,82,44.7,38.6,154,63.6,47.7,200,21,10.5,13,0.65,14.9,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,90.9,90,20,0,,0,1.55,27,23,+4,+0.20,+2.20,29.9,20.1,+9.8,+0.49,+0.74,0,0,9,0,0,0,0,0,0,72,0,0,,Ligue-1,13,2021-2022
Etienne Green,eng ENG,GK,Saint-Étienne,21,2000,15,15,1197,13.3,27,2.03,67,43,61.2,2,5,8,1,6.7,1,1,0,0,0.0,1,3,2,20.7,0.30,-4.3,-0.32,75,188,39.9,295,65,41.7,37.9,109,59.6,47.4,112,9,8.0,8,0.60,14.5,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,80,60.5,80,12,0,,2,0.73,13,27,-14,-1.05,+0.10,16.4,22.9,-6.5,-0.49,+0.18,0,1,1,0,0,0,0,0,1,62,0,0,,Ligue-1,13,2021-2022
Eiji Kawashima,jp JPN,GK,Strasbourg,38,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,0,0,0,0.0,0.02,0.0,+0.02,1,4,25.0,24,5,8.3,28.4,7,28.6,32.3,8,0,0.0,0,0.00,13.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,4.5,90,1,0,,20,3.00,2,0,+2,+2.00,+1.38,3.1,0.4,+2.7,+2.70,+2.38,0,0,0,0,0,0,0,0,0,5,0,0,,Ligue-1,13,2021-2022
Alban Lafont,fr FRA,GK,Nantes,23,1999,22,22,1980,22.0,27,1.23,89,63,70.8,9,5,8,5,22.7,2,1,1,0,50.0,0,3,1,26.4,0.28,+0.4,+0.02,121,380,31.8,475,69,51.8,44.9,164,81.7,59.8,165,12,7.3,12,0.55,14.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,22,0,,0,1.45,30,27,+3,+0.14,,23.2,28.3,-5.1,-0.23,,0,0,2,0,0,0,0,0,0,87,0,0,,Ligue-1,13,2021-2022
Jean-Louis Leca,fr FRA,GK,Lens,36,1985,20,20,1755,19.5,26,1.33,69,45,65.2,8,6,6,4,20.0,2,2,0,0,0.0,1,2,0,22.4,0.31,-3.6,-0.19,93,218,42.7,420,97,38.6,34.9,144,38.9,35.3,150,18,12.0,12,0.62,13.9,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,88,88.6,88,19,0,,1,1.50,32,26,+6,+0.31,+0.71,29.0,21.3,+7.7,+0.40,-0.14,0,0,2,0,0,0,0,0,0,100,0,0,,Ligue-1,13,2021-2022
Anthony Lopes,pt POR,GK,Lyon,31,1990,20,20,1783,19.8,26,1.31,93,73,75.3,7,8,5,5,25.0,3,3,0,0,0.0,1,3,3,25.6,0.25,+2.6,+0.13,87,177,49.2,502,89,26.1,31.0,142,32.4,33.2,159,6,3.8,17,0.86,15.7,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,94.3,89,19,0,,0,1.38,27,26,+1,+0.05,-0.79,33.8,31.6,+2.2,+0.11,-1.55,0,0,4,0,0,0,0,0,0,81,0,1,0.0,Ligue-1,13,2021-2022
Pau López,es ESP,GK,Marseille,27,1994,17,17,1530,17.0,11,0.65,46,37,82.6,9,5,3,10,58.8,3,3,0,0,0.0,0,1,0,14.3,0.26,+3.3,+0.19,87,197,44.2,649,84,24.8,29.9,94,38.3,35.2,96,16,16.7,16,0.94,16.5,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,81.0,90,17,0,,2,1.78,22,11,+11,+0.65,-0.10,23.4,20.3,+3.2,+0.19,-0.70,0,0,2,0,0,0,0,0,0,101,0,0,,Ligue-1,13,2021-2022
Steve Mandanda,fr FRA,GK,Marseille,36,1985,4,4,360,4.0,5,1.25,14,9,64.3,2,2,0,1,25.0,0,0,0,0,,0,3,1,3.0,0.21,-1.0,-0.26,15,25,60.0,87,15,21.8,29.6,30,20.0,30.3,36,3,8.3,5,1.25,17.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,19.0,90,4,0,,17,2.00,8,5,+3,+0.75,+0.10,7.0,3.4,+3.5,+0.89,+0.70,0,0,0,0,0,0,0,0,0,17,0,0,,Ligue-1,13,2021-2022
Paul Nardi,fr FRA,GK,Lorient,27,1994,22,22,1980,22.0,38,1.73,88,56,61.4,3,8,11,4,18.2,5,4,0,1,0.0,4,3,2,31.4,0.32,-4.6,-0.21,81,317,25.6,361,75,51.0,43.3,176,75.6,58.9,209,6,2.9,7,0.32,13.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,22,0,,0,0.77,18,38,-20,-0.91,,24.7,33.1,-8.4,-0.38,,0,0,4,0,0,0,0,0,0,82,0,0,,Ligue-1,13,2021-2022
Keylor Navas,cr CRC,GK,Paris S-G,35,1986,13,13,1144,12.7,11,0.87,51,40,78.4,9,4,0,4,30.8,0,0,0,0,,0,2,0,10.8,0.21,-0.2,-0.02,31,58,53.4,259,60,17.0,27.7,87,16.1,24.6,94,5,5.3,10,0.79,13.7,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,88,57.8,88,12,0,,6,2.38,27,11,+16,+1.26,-0.03,21.8,12.0,+9.8,+0.77,-0.33,0,0,1,0,0,0,0,0,0,62,0,0,,Ligue-1,13,2021-2022
Alexander Nübel,de GER,GK,Monaco,25,1996,22,22,1980,22.0,26,1.18,73,55,72.6,9,6,7,5,22.7,7,6,0,1,0.0,0,3,2,26.8,0.30,+2.8,+0.13,97,253,38.3,511,89,35.4,35.2,144,50.0,43.3,141,6,4.3,12,0.55,15.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,22,0,,0,1.50,35,26,+9,+0.41,,32.1,24.1,+8.0,+0.37,,0,0,1,0,0,0,0,0,0,99,0,0,,Ligue-1,13,2021-2022
