Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Nancy,28,27,46.2,21,231,1890,21.0,37,27,36,1,2,41,3,1.76,1.29,3.05,1.71,3.0,243,101,41.6,11.57,4.81,0.15,0.36,,90,100,83,144,84,19,63,0.71,38,16,22,1.05,1,335,307,45,308,253,223,,,1,Ligue-2,60,2021-2022
Nîmes,22,26,48.3,20,220,1800,20.0,25,19,24,1,1,37,2,1.25,0.95,2.2,1.2,2.15,263,82,31.2,13.15,4.1,0.09,0.29,,90,100,83,144,75,20,63,1.3,25,24,1,0.05,1,270,266,21,342,234,211,,,0,Ligue-2,60,2021-2022
Niort,23,26,54.0,19,209,1710,19.0,20,15,19,1,2,40,1,1.05,0.79,1.84,1.0,1.79,216,72,33.3,11.37,3.79,0.09,0.26,,90,100,83,142,66,21,67,1.47,21,23,-2,-0.11,0,274,225,31,428,176,211,,,2,Ligue-2,60,2021-2022
Paris FC,28,26,48.6,20,220,1800,20.0,17,15,16,1,1,26,3,0.85,0.75,1.6,0.8,1.55,204,61,29.9,10.2,3.05,0.08,0.26,,90,100,81,137,80,23,60,1.85,18,27,-9,-0.45,0,229,234,37,366,280,162,,,2,Ligue-2,60,2021-2022
Pau FC,20,26,53.4,21,231,1890,21.0,23,15,20,3,4,32,4,1.1,0.71,1.81,0.95,1.67,243,83,34.2,11.57,3.95,0.08,0.24,,90,100,83,151,78,19,67,1.33,24,24,0,0.0,2,272,269,21,417,191,216,,,0,Ligue-2,60,2021-2022
Quevilly-Rouen,27,26,59.2,22,242,1980,22.0,30,25,29,1,1,42,3,1.36,1.14,2.5,1.32,2.45,269,90,33.5,12.23,4.09,0.11,0.32,,90,100,83,156,84,19,69,1.14,30,21,9,0.41,0,336,321,37,418,233,269,,,0,Ligue-2,60,2021-2022
Rodez Aveyron,24,26,53.7,22,242,1980,22.0,23,16,21,2,3,42,2,1.05,0.73,1.77,0.95,1.68,210,62,29.5,9.55,2.82,0.1,0.34,,90,100,83,154,86,20,66,1.27,23,20,3,0.14,0,325,272,34,372,226,203,,,1,Ligue-2,60,2021-2022
Sochaux,24,26,43.7,22,242,1980,22.0,18,12,17,1,1,51,5,0.82,0.55,1.36,0.77,1.32,188,55,29.3,8.55,2.5,0.09,0.31,,90,100,83,154,86,19,67,1.82,18,24,-6,-0.27,4,291,276,30,303,264,196,,,2,Ligue-2,60,2021-2022
Toulouse,26,26,39.0,22,242,1980,22.0,17,9,15,2,2,41,5,0.77,0.41,1.18,0.68,1.09,208,68,32.7,9.45,3.09,0.07,0.22,,90,100,83,158,81,20,73,1.91,19,45,-26,-1.18,1,253,326,43,288,252,228,,,1,Ligue-2,60,2021-2022
Valenciennes,27,26,52.9,20,220,1800,20.0,28,21,24,4,5,46,2,1.4,1.05,2.45,1.2,2.25,232,85,36.6,11.6,4.25,0.1,0.28,,90,100,82,136,82,20,58,1.1,28,16,12,0.6,1,303,299,40,423,231,236,,,1,Ligue-2,60,2021-2022
