Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Clermont Foot,24,26,43.4,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,115,1.79,25,35,-10,-0.36,,,,,,,,,,,Ligue-2,60,2019-2020
Clermont Foot,25,26,43.9,38,418.0,3420,38.0,37.0,22.0,35.0,2.0,2.0,66.0,5.0,0.97,0.58,1.55,0.92,1.5,,,,,,,,,90,100,84.0,,110.0,22.0,153,1.26,37,44,-7,-0.18,0.0,,,,,,,,,1.0,Ligue-2,60,2018-2019
Dijon,28,26,48.5,22,242.0,1980,22.0,27.0,14.0,24.0,3.0,3.0,52.0,3.0,1.23,0.64,1.86,1.09,1.73,245.0,88.0,35.9,11.14,4.0,0.1,0.27,,90,100,83.0,156.0,83.0,19.0,69,1.32,29,28,1,0.05,3.0,343.0,296.0,44.0,368.0,257.0,219.0,,,0.0,Ligue-2,60,2021-2022
Dunkerque,25,26,53.4,38,418.0,3420,38.0,46.0,29.0,41.0,5.0,9.0,76.0,10.0,1.21,0.76,1.97,1.08,1.84,439.0,152.0,34.6,11.55,4.0,0.09,0.27,,90,100,82.0,266.0,145.0,21.0,121,1.08,47,34,13,0.34,3.0,608.0,543.0,78.0,726.0,462.0,299.0,,,0.0,Ligue-2,60,2020-2021
Dunkerque,27,26,54.2,20,220.0,1800,20.0,25.0,20.0,24.0,1.0,1.0,32.0,2.0,1.25,1.0,2.25,1.2,2.2,236.0,94.0,39.8,11.8,4.7,0.1,0.26,,90,100,85.0,149.0,69.0,15.0,69,0.85,26,15,11,0.55,1.0,341.0,281.0,55.0,375.0,201.0,151.0,,,0.0,Ligue-2,60,2021-2022
Gazélec Ajaccio,24,26,52.1,38,418.0,3420,38.0,50.0,32.0,45.0,5.0,5.0,68.0,4.0,1.32,0.84,2.16,1.18,2.03,,,,,,,,,90,100,85.0,,110.0,20.0,153,1.03,54,30,24,0.63,1.0,,,,,,,,,0.0,Ligue-2,60,2018-2019
Gazélec Ajaccio,31,26,55.3,38,418.0,3420,38.0,59.0,37.0,54.0,5.0,6.0,49.0,2.0,1.55,0.97,2.53,1.42,2.39,0.0,0.0,,0.0,0.0,,,,90,100,85.0,,107.0,19.0,155,1.08,60,35,25,0.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Ligue-2,60,2017-2018
Grenoble,24,26,50.4,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,118,1.25,29,27,2,0.07,,,,,,,,,,,Ligue-2,60,2019-2020
Grenoble,27,26,49.1,38,418.0,3420,38.0,35.0,26.0,31.0,4.0,8.0,80.0,8.0,0.92,0.68,1.61,0.82,1.5,377.0,128.0,34.0,9.92,3.37,0.08,0.24,,90,100,83.0,276.0,137.0,19.0,126,1.71,35,51,-16,-0.42,1.0,532.0,517.0,72.0,666.0,542.0,379.0,,,2.0,Ligue-2,60,2020-2021
Grenoble,28,26,51.2,38,418.0,3420,38.0,47.0,29.0,42.0,5.0,5.0,74.0,3.0,1.24,0.76,2.0,1.11,1.87,,,,,,,,,90,100,85.0,,110.0,20.0,153,1.32,47,43,4,0.11,0.0,,,,,,,,,0.0,Ligue-2,60,2018-2019
