Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Grenoble,28,27,48.8,38,418,3420,38.0,43,26,37,6,8,55.0,2.0,1.13,0.68,1.82,0.97,1.66,,,,,,,,,90,100,85.0,,110,18,154,1.32,43,47,-4,-0.11,1,,,,,,,,,0,Ligue-2,60,2018-2019
Grenoble,30,28,49.4,21,231,1890,21.0,17,14,15,2,4,35.0,3.0,0.81,0.67,1.48,0.71,1.38,179.0,57.0,31.8,8.52,2.71,0.08,0.26,,90,100,81.0,139.0,89,21,58,1.05,17,27,-10,-0.48,0,260.0,254.0,40.0,320.0,261.0,191.0,,,1,Ligue-2,60,2021-2022
Guingamp,30,26,49.9,28,308,2520,28.0,38,27,37,1,2,46.0,3.0,1.36,0.96,2.32,1.32,2.29,411.0,128.0,31.1,14.68,4.57,0.09,0.29,,90,100,84.0,,77,22,118,1.39,40,33,7,0.25,1,345.0,357.0,61.0,654.0,317.0,285.0,,,0,Ligue-2,60,2019-2020
Guingamp,31,27,49.3,38,418,3420,38.0,40,29,38,2,3,65.0,1.0,1.05,0.76,1.82,1.0,1.76,394.0,139.0,35.3,10.37,3.66,0.1,0.27,,90,100,83.0,263.0,155,19,111,1.24,41,43,-2,-0.05,0,578.0,505.0,76.0,658.0,538.0,334.0,,,1,Ligue-2,60,2020-2021
Guingamp,31,26,52.9,22,242,1980,22.0,23,17,22,1,2,55.0,3.0,1.05,0.77,1.82,1.0,1.77,273.0,81.0,29.7,12.41,3.68,0.08,0.27,,90,100,83.0,154.0,85,19,69,1.18,24,31,-7,-0.32,2,329.0,307.0,55.0,446.0,253.0,201.0,,,0,Ligue-2,60,2021-2022
Le Havre,23,24,48.6,28,308,2520,28.0,38,21,30,8,10,47.0,6.0,1.36,0.75,2.11,1.07,1.82,336.0,112.0,33.3,12.0,4.0,0.09,0.27,,90,100,86.0,,72,18,123,1.57,38,25,13,0.46,3,364.0,336.0,66.0,517.0,321.0,272.0,,,0,Ligue-2,60,2019-2020
Le Havre,26,25,49.6,38,418,3420,38.0,43,32,40,3,4,68.0,5.0,1.13,0.84,1.97,1.05,1.89,,,,,,,,,90,100,86.0,,105,16,161,1.42,45,40,5,0.13,0,,,,,,,,,1,Ligue-2,60,2018-2019
Le Havre,27,24,47.6,38,418,3420,38.0,51,42,50,1,1,,,1.34,1.11,2.45,1.32,2.42,0.0,158.0,,0.0,4.16,,0.32,,90,100,,,100,0,166,1.74,53,34,19,0.5,0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Ligue-2,60,2017-2018
Le Havre,29,25,45.6,22,242,1980,22.0,21,11,19,2,2,33.0,3.0,0.95,0.5,1.45,0.86,1.36,224.0,75.0,33.5,10.18,3.41,0.08,0.25,,90,100,84.0,155.0,85,17,69,1.55,22,16,6,0.27,1,266.0,306.0,28.0,312.0,276.0,191.0,,,0,Ligue-2,60,2021-2022
Le Havre,36,26,47.6,38,418,3420,38.0,34,16,25,9,10,66.0,8.0,0.89,0.42,1.32,0.66,1.08,369.0,142.0,38.5,9.71,3.74,0.07,0.18,,90,100,83.0,289.0,122,23,142,1.24,38,48,-10,-0.26,4,475.0,575.0,65.0,595.0,402.0,341.0,,,0,Ligue-2,60,2020-2021
