Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Mikhail Kerzhakov,ru RUS,GK,ru Zenit,34,1987,2,2,180,2.0,4,2.00,9,5,55.6,0,2,0,0,0.0,0,0,0,0,,0,1,0,2.8,0.31,-1.2,-0.60,5,11,45.5,22,4,31.8,33.0,10,40.0,36.0,8,1,12.5,1,0.50,22.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,33.3,90,2,0,,4,1.00,4,4,0,0.00,0.00,3.9,3.1,+0.9,+0.43,+0.75,0,0,0,0,0,0,0,0,0,2,0,0,,Champions-League,8,2021-2022
Gregor Kobel,ch SUI,GK,de Dortmund,24,1997,6,6,540,6.0,11,1.83,23,13,52.2,3,0,3,2,33.3,1,0,0,1,,0,0,1,9.3,0.36,-0.7,-0.11,27,48,56.3,142,15,27.5,31.6,36,25.0,30.9,54,2,3.7,4,0.67,12.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.50,10,11,-1,-0.17,,10.7,7.3,+3.3,+0.55,,0,0,0,0,0,0,0,0,0,24,0,0,,Champions-League,8,2021-2022
Philipp Köhn,ch SUI,GK,at RB Salzburg,23,1998,6,6,540,6.0,6,1.00,11,6,54.5,3,1,2,1,16.7,1,1,0,0,0.0,1,1,0,4.6,0.33,-1.4,-0.24,28,73,38.4,130,25,39.2,38.0,39,56.4,42.7,46,6,13.0,3,0.50,11.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,2.00,8,6,+2,+0.33,,9.3,6.1,+3.2,+0.53,,0,0,3,0,0,0,0,0,0,27,0,0,,Champions-League,8,2021-2022
Stanislav Kritsyuk,ru RUS,GK,ru Zenit,31,1990,4,4,360,4.0,6,1.50,17,12,70.6,1,0,3,1,25.0,1,1,0,0,0.0,0,1,0,7.0,0.36,+1.0,+0.26,20,45,44.4,64,12,40.6,35.9,38,50.0,38.2,49,3,6.1,2,0.50,13.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,66.7,90,4,0,,0,0.75,6,6,0,0.00,0.00,4.7,6.0,-1.3,-0.33,-0.75,0,0,1,0,0,0,0,0,0,12,0,0,,Champions-League,8,2021-2022
Mike Maignan,fr FRA,GK,it Milan,26,1995,3,3,270,3.0,7,2.33,18,13,66.7,0,0,3,0,0.0,2,1,0,1,0.0,0,2,1,4.4,0.17,-1.6,-0.53,11,44,25.0,91,17,34.1,34.8,22,59.1,53.6,35,1,2.9,2,0.67,11.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,50.0,90,3,0,,0,0.00,4,7,-3,-1.00,-1.00,2.9,5.7,-2.9,-0.95,-0.31,0,0,2,0,0,0,0,0,0,19,0,0,,Champions-League,8,2021-2022
Josep Martinez,es ESP,GK,de RB Leipzig,23,1998,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,0,0,0,0.2,0.08,+0.2,+0.24,9,25,36.0,26,2,80.8,57.2,5,80.0,58.2,3,0,0.0,2,2.00,15.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,16.7,90,1,0,,5,3.00,5,0,+5,+5.00,+5.80,3.2,0.7,+2.5,+2.49,+3.05,0,0,1,0,0,0,0,0,0,6,0,0,,Champions-League,8,2021-2022
Edouard Mendy,sn SEN,GK,eng Chelsea,29,1992,5,5,450,5.0,1,0.20,4,3,75.0,4,0,1,4,80.0,0,0,0,0,,0,0,0,0.9,0.23,-0.1,-0.01,4,14,28.6,81,18,9.9,24.8,23,26.1,26.3,9,3,33.3,3,0.60,18.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,83.3,90,5,0,,1,2.40,10,1,+9,+1.80,+1.80,10.1,2.6,+7.5,+1.50,+0.76,0,0,0,0,0,0,0,0,0,16,0,0,,Champions-League,8,2021-2022
Simon Mignolet,be BEL,GK,be Club Brugge,33,1988,6,6,540,6.0,20,3.33,44,27,61.4,1,1,4,0,0.0,3,3,0,0,0.0,0,0,0,19.8,0.40,-0.2,-0.04,66,120,55.0,180,21,52.2,39.6,47,55.3,39.9,33,3,9.1,4,0.67,13.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,0.67,6,20,-14,-2.33,,6.5,16.9,-10.4,-1.73,,0,0,0,0,0,0,0,0,0,40,0,0,,Champions-League,8,2021-2022
Juan Musso,ar ARG,GK,it Atalanta,27,1994,6,6,540,6.0,13,2.17,34,21,61.8,1,3,2,1,16.7,0,0,0,0,,0,3,0,10.9,0.32,-2.1,-0.35,27,69,39.1,133,28,31.6,34.2,33,81.8,58.0,38,1,2.6,3,0.50,14.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,6,0,,0,1.00,12,13,-1,-0.17,,8.8,9.1,-0.4,-0.06,,0,0,1,0,0,0,0,0,0,20,0,0,,Champions-League,8,2021-2022
Keylor Navas,cr CRC,GK,fr Paris S-G,35,1986,3,3,270,3.0,5,1.67,16,11,68.8,1,1,1,0,0.0,0,0,0,0,,0,0,0,5.8,0.36,+0.8,+0.27,9,27,33.3,88,16,25.0,28.3,21,23.8,25.6,26,0,0.0,1,0.33,10.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,50.0,90,3,0,,3,1.33,5,5,0,0.00,-1.67,5.8,4.9,+0.9,+0.30,+0.23,0,0,0,0,0,0,0,0,0,18,0,0,,Champions-League,8,2021-2022
