Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
Andrew Robertson,sct SCO,DF,eng Liverpool,23,1994,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3,1,33.3,0.50,0.17,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,46.2,,6,0,,2,2.00,18,10,+8,+1.33,-1.10,0,2,0,0,0,Champions-League,8,2017-2018
Pedro Rocha Neves,br BRA,"FW,MF",ru Spartak Moscow,22,1994,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.2,,0,1,,5,1.00,0,0,0,0.00,+0.67,0,0,0,0,0,Champions-League,8,2017-2018
James Rodríguez,co COL,"MF,FW",de Bayern Munich,26,1991,12,8,779,8.7,1,2,1,0,0,1,0,0.12,0.23,0.35,0.12,0.35,20,8,40.0,2.31,0.92,0.05,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,72.1,,3,4,,0,2.17,17,10,+7,+0.81,-1.28,0,4,0,0,0,Champions-League,8,2017-2018
Marko Rog,hr CRO,MF,it Napoli,22,1995,4,0,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,1.20,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,13.9,,0,4,,2,2.00,2,3,-1,-1.20,-1.39,0,4,0,0,0,Champions-League,8,2017-2018
Tom Rogić,au AUS,"MF,FW",sct Celtic,24,1992,6,2,294,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5,1,20.0,1.53,0.31,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,54.4,,1,4,,0,1.33,4,11,-7,-2.14,+0.05,0,6,0,0,0,Champions-League,8,2017-2018
Marcos Rojo,ar ARG,DF,eng Manchester Utd,27,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,1.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,12.5,,1,0,,0,0.00,0,1,-1,-1.00,-2.29,0,2,0,0,0,Champions-League,8,2017-2018
Alaixys Romao,tg TOG,"MF,DF",gr Olympiacos,33,1984,6,6,540,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.17,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100.0,,6,0,,0,1.10,4,13,-9,-1.50,,0,7,0,0,0,Champions-League,8,2017-2018
Sergio Romero,ar ARG,GK,eng Manchester Utd,30,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,25.0,,2,0,,6,1.50,2,2,0,0.00,-1.33,0,0,0,0,0,Champions-League,8,2017-2018
Cristiano Ronaldo,pt POR,FW,es Real Madrid,32,1985,13,13,1170,13.0,15,2,11,4,4,2,0,1.15,0.15,1.31,0.85,1.00,82,33,40.2,6.31,2.54,0.13,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100.0,,13,0,,0,2.23,33,16,+17,+1.31,,0,6,0,0,0,Champions-League,8,2017-2018
Danny Rose,eng ENG,"MF,DF",eng Tottenham,27,1990,3,2,170,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,23.6,,1,1,,3,2.33,4,1,+3,+1.59,+0.44,0,4,0,0,0,Champions-League,8,2017-2018
