Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Moustapha Name,sn SEN,MF,Paris FC,26,1995,14,14,1260,14.0,1,2,1,0,0,2,0,0.07,0.14,0.21,0.07,0.21,24,6,25.0,1.71,0.43,0.04,0.17,,90,87.5,90,14,0,,0,1.93,19,13,+6,+0.43,+1.43,0,12,19,0,23,11,17,,,0,Ligue-2,60,2021-2022
Duckens Nazon,ht HAI,FW,Quevilly-Rouen,27,1994,10,9,748,8.3,4,0,4,0,0,4,0,0.48,0.00,0.48,0.48,0.48,36,6,16.7,4.33,0.72,0.11,0.67,,75,51.9,83,5,1,1,0,1.30,7,12,-5,-0.60,-0.34,0,20,11,9,5,1,1,,,0,Ligue-2,60,2021-2022
Logan Ndenbe,be BEL,DF,Guingamp,21,2000,9,9,810,9.0,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,3,2,66.7,0.33,0.22,0.00,0.00,,90,56.3,90,9,0,,5,1.33,11,12,-1,-0.11,+0.32,0,15,15,1,27,13,12,,,0,Ligue-2,60,2021-2022
Rassoul Ndiaye,fr FRA,MF,Sochaux,19,2001,13,5,534,5.9,1,0,1,0,0,3,0,0.17,0.00,0.17,0.17,0.17,10,2,20.0,1.69,0.34,0.10,0.50,,41,37.1,75,1,8,20,2,1.69,4,3,+1,+0.17,-0.03,0,11,7,0,3,7,6,,,0,Ligue-2,60,2021-2022
Bridge Ndilu,fr FRA,FW,Quevilly-Rouen,21,2000,9,2,294,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,7,1,14.3,2.14,0.31,0.00,0.00,,33,20.4,90,2,7,16,1,1.00,3,5,-2,-0.61,-0.22,0,7,3,5,11,0,1,,,0,Ligue-2,60,2021-2022
Aly Ndom,fr FRA,MF,Auxerre,25,1996,10,2,266,3.0,1,0,1,0,0,1,0,0.34,0.00,0.34,0.34,0.34,2,1,50.0,0.68,0.34,0.50,1.00,,27,18.5,69,0,8,16,1,2.00,6,2,+4,+1.35,+1.05,0,6,5,0,1,4,2,,,0,Ligue-2,60,2021-2022
Loris Néry,fr FRA,DF,Grenoble,30,1991,13,10,943,10.5,0,2,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,1,0,0.0,0.10,0.00,0.00,,,73,65.5,87,8,3,25,0,1.38,13,12,+1,+0.10,+1.00,0,6,11,1,28,12,16,,,0,Ligue-2,60,2021-2022
Loïc Nestor,fr FRA,DF,Grenoble,32,1989,15,15,1340,14.9,2,0,2,0,0,0,0,0.13,0.00,0.13,0.13,0.13,6,4,66.7,0.40,0.27,0.33,0.50,,89,93.1,89,14,0,,0,1.40,13,15,-2,-0.13,+1.67,0,5,2,1,5,23,7,,,0,Ligue-2,60,2021-2022
Ahmad Ngouyamsa,cm CMR,"MF,DF",Dijon,20,2000,8,6,540,6.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.17,0.00,0.00,,,68,37.5,77,4,2,39,4,1.25,6,9,-3,-0.50,-0.30,0,17,5,0,16,7,6,,,0,Ligue-2,60,2021-2022
Adama Niane,ml MLI,FW,Sochaux,28,1993,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,13.85,0.00,0.00,,,7,0.9,,0,2,7,3,1.50,0,0,0,0.00,-0.19,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Rasmus Nicolaisen,dk DEN,"DF,MF",Toulouse,24,1997,10,10,900,10.0,1,0,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,11,1,9.1,1.10,0.10,0.09,1.00,,90,62.5,90,10,0,,0,1.70,23,10,+13,+1.30,-0.20,0,16,8,0,0,22,5,,,0,Ligue-2,60,2021-2022
Jovan Nišić,rs SRB,MF,Pau FC,23,1998,14,9,707,7.9,0,2,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,4,2,50.0,0.51,0.25,0.00,0.00,,51,49.1,69,2,5,18,1,1.50,11,7,+4,+0.51,+0.88,0,18,13,0,25,11,16,,,0,Ligue-2,60,2021-2022
Riad Nouri,fr FRA,MF,Ajaccio,36,1985,16,8,820,9.1,4,1,4,0,0,2,0,0.44,0.11,0.55,0.44,0.55,18,5,27.8,1.98,0.55,0.22,0.80,,51,56.9,77,2,8,25,0,1.94,11,5,+6,+0.66,+0.08,0,13,6,4,40,6,12,,,0,Ligue-2,60,2021-2022
Emmanuel Ntim,gh GHA,DF,Valenciennes,25,1996,15,15,1324,14.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,10,3,30.0,0.68,0.20,0.00,0.00,,88,91.9,88,13,0,,0,1.07,12,21,-9,-0.61,-0.61,0,17,19,0,2,33,12,,,0,Ligue-2,60,2021-2022
Johann Obiang,ga GAB,MF,Rodez Aveyron,28,1993,13,5,545,6.1,0,3,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0,0,,0.00,0.00,,,,42,37.8,81,2,8,18,1,1.23,7,7,0,0.00,-0.20,0,10,2,1,35,10,7,,,0,Ligue-2,60,2021-2022
Alexandre Olliero,fr FRA,GK,Pau FC,25,1996,16,16,1440,16.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,100.0,90,16,0,,0,1.50,17,16,+1,+0.06,,0,1,3,0,0,0,0,,,0,Ligue-2,60,2021-2022
Ado Onaiwu,jp JPN,FW,Toulouse,26,1995,16,11,983,10.9,5,0,5,0,0,1,0,0.46,0.00,0.46,0.46,0.46,24,12,50.0,2.20,1.10,0.21,0.42,,61,68.3,73,3,5,35,0,2.06,24,7,+17,+1.56,+0.57,0,19,9,2,1,2,5,,,0,Ligue-2,60,2021-2022
Terell Ondaan,gy GUY,MF,Grenoble,28,1993,2,2,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.80,0.00,0.00,,,57,7.8,57,0,0,,0,0.50,0,2,-2,-1.59,-1.46,0,1,2,1,4,2,1,,,0,Ligue-2,60,2021-2022
Prince Oniangué,cg CGO,DF,Caen,33,1988,16,14,1276,14.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,8,1,12.5,0.56,0.07,0.00,0.00,,80,88.6,87,13,2,26,0,1.06,15,17,-2,-0.14,-0.69,0,9,5,0,0,27,6,,,0,Ligue-2,60,2021-2022
Mohamed Ouadah,dz ALG,"DF,MF",Dunkerque,27,1994,10,5,503,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,10,3,30.0,1.79,0.54,0.00,0.00,,50,34.9,84,3,5,17,0,1.00,2,9,-7,-1.25,-1.44,0,12,15,0,17,5,5,,,0,Ligue-2,60,2021-2022
Nassim Ouammou,ma MAR,MF,Rodez Aveyron,28,1993,14,11,928,10.3,1,3,1,0,0,2,0,0.10,0.29,0.39,0.10,0.39,11,5,45.5,1.07,0.48,0.09,0.20,,66,64.4,78,3,3,24,1,1.36,11,10,+1,+0.10,-0.08,0,8,9,0,84,13,4,,,0,Ligue-2,60,2021-2022
Abou Ouattara,bf BFA,"FW,MF",Valenciennes,21,1999,14,3,718,8.0,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,12,4,33.3,1.50,0.50,0.00,0.00,,51,49.9,88,2,11,41,1,0.93,5,13,-8,-1.00,-0.88,0,19,9,3,13,8,9,,,0,Ligue-2,60,2021-2022
Romain Padovani,fr FRA,DF,Quevilly-Rouen,32,1989,11,10,856,9.5,1,0,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,2,1,50.0,0.21,0.11,0.50,1.00,,78,59.4,86,9,1,1,0,1.09,8,14,-6,-0.63,-0.48,0,3,4,0,0,21,8,,,0,Ligue-2,60,2021-2022
Lloyd Palun,ga GAB,DF,Bastia,33,1988,14,14,1215,13.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,4,1,25.0,0.30,0.07,0.00,0.00,,87,84.4,87,13,0,,0,1.21,12,13,-1,-0.07,+0.33,0,7,7,0,21,39,21,,,0,Ligue-2,60,2021-2022
Jayson Papeau,fr FRA,MF,Amiens,25,1996,5,3,242,2.7,1,0,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,3,2,66.7,1.12,0.74,0.33,0.50,,48,16.8,69,0,2,18,0,1.00,2,1,+1,+0.37,+0.60,0,4,8,0,4,2,10,,,0,Ligue-2,60,2021-2022
Gaëtan Paquiez,fr FRA,DF,Nîmes,27,1994,12,4,436,4.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,36,30.3,79,3,8,15,3,1.25,6,7,-1,-0.21,-0.21,0,8,6,0,7,4,9,,,0,Ligue-2,60,2021-2022
Bryan Passi,fr FRA,DF,Niort,24,1997,12,12,1080,12.0,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,6,3,50.0,0.50,0.25,0.17,0.33,,90,75.0,90,12,0,,0,1.42,14,14,0,0.00,+0.50,0,4,13,0,1,23,7,,,0,Ligue-2,60,2021-2022
Kelvin Patrick,cv CPV,"MF,DF",Nancy,21,2000,6,3,339,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3,1,33.3,0.80,0.27,0.00,0.00,,57,23.5,90,3,3,23,3,0.50,3,6,-3,-0.80,+0.10,0,10,2,0,0,6,6,,,0,Ligue-2,60,2021-2022
Mateo Pavlović,ba BIH,DF,Amiens,31,1990,9,8,744,8.3,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,3,1,33.3,0.36,0.12,0.33,1.00,,83,51.7,90,8,1,24,0,1.00,8,7,+1,+0.12,+0.51,0,7,3,0,0,22,6,,,0,Ligue-2,60,2021-2022
Théo Pellenard,fr FRA,DF,Auxerre,27,1994,16,16,1440,16.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,100.0,90,16,0,,0,1.81,26,18,+8,+0.50,,0,12,8,0,1,17,14,,,0,Ligue-2,60,2021-2022
Manuel Perez,fr FRA,MF,Grenoble,30,1991,5,4,241,2.7,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,48,16.7,56,0,1,16,1,1.20,2,6,-4,-1.49,-1.49,0,11,1,0,0,3,4,,,1,Ligue-2,60,2021-2022
