Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Romain Basque,fr FRA,"MF,DF",Le Havre,25,1995,35,31,2759,30.7,3,1,2,1,1,4,0,0.10,0.03,0.13,0.07,0.10,33,10,30.3,1.08,0.33,0.06,0.20,,79,80.7,85,,4,29,1,1.17,29,37,-8,-0.26,+0.01,0,47,55,2,88,37,34,,,0,Ligue-2,60,2020-2021
Amine Bassi,fr FRA,"MF,FW",Nancy,22,1997,19,17,1475,16.4,7,3,5,2,2,2,0,0.43,0.18,0.61,0.31,0.49,27,11,40.7,1.65,0.67,0.19,0.45,,78,43.1,83,,2,31,0,1.00,20,24,-4,-0.24,-0.43,0,20,30,4,104,9,9,,,0,Ligue-2,60,2020-2021
Antoine Batisse,fr FRA,DF,Pau FC,25,1995,35,35,3144,34.9,3,1,3,0,0,11,1,0.09,0.03,0.11,0.09,0.11,24,8,33.3,0.69,0.23,0.13,0.38,,90,91.9,90,,0,,0,1.17,38,45,-7,-0.20,-0.20,1,55,39,8,6,69,35,,,0,Ligue-2,60,2020-2021
Terence Baya,fr FRA,DF,Troyes,22,1998,6,0,193,2.1,1,0,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,2,1,50.0,0.93,0.47,0.50,1.00,,32,5.6,,,6,32,4,2.17,5,3,+2,+0.93,+0.32,0,2,5,0,12,1,4,,,0,Ligue-2,60,2020-2021
Cyrille Bayala,bf BFA,MF,Ajaccio,24,1996,14,14,1065,11.8,2,3,1,1,1,3,0,0.17,0.25,0.42,0.08,0.34,14,6,42.9,1.18,0.51,0.07,0.17,,76,31.1,76,,0,,0,1.07,10,15,-5,-0.42,-0.27,0,21,13,3,45,12,18,,,0,Ligue-2,60,2020-2021
Romain Bayard,fr FRA,MF,Pau FC,26,1993,22,8,717,8.0,1,0,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,16,7,43.8,2.01,0.88,0.06,0.14,,33,21.0,65,,14,14,1,0.91,6,21,-15,-1.88,-2.15,0,12,25,1,23,5,8,,,0,Ligue-2,60,2020-2021
Mohamed Bayo,gn GUI,FW,Clermont Foot,22,1998,38,34,3079,34.2,22,7,20,2,4,2,0,0.64,0.20,0.85,0.58,0.79,116,55,47.4,3.39,1.61,0.17,0.36,,81,90.0,88,,4,24,0,1.89,58,22,+36,+1.05,+1.05,0,33,12,23,17,7,8,,,0,Ligue-2,60,2020-2021
Hervé Bazile,ht HAI,"MF,FW",Le Havre,30,1990,17,6,662,7.4,1,1,1,0,0,1,1,0.14,0.14,0.27,0.14,0.27,12,6,50.0,1.63,0.82,0.08,0.17,,39,19.4,68,,11,23,10,1.00,10,10,0,0.00,+0.33,0,7,9,1,36,9,7,,,0,Ligue-2,60,2020-2021
Jonathan Beaulieu,fr FRA,MF,Chambly Oise,27,1993,16,12,957,10.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.09,0.00,0.00,,,60,28.0,75,,4,16,7,0.88,12,17,-5,-0.47,+0.19,0,23,9,1,4,12,24,,,0,Ligue-2,60,2020-2021
Wilfried Bedfian,cm CMR,GK,Châteauroux,19,2001,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,10.5,90,,0,,5,0.25,1,6,-5,-1.25,-0.63,0,0,1,0,0,0,0,,,0,Ligue-2,60,2020-2021
Chris Bedia,ci CIV,FW,Sochaux,24,1996,35,23,2030,22.6,9,2,7,2,3,4,2,0.40,0.09,0.49,0.31,0.40,56,23,41.1,2.48,1.02,0.13,0.30,,58,59.4,72,,12,32,0,1.29,24,21,+3,+0.13,-0.19,0,68,53,15,4,5,10,,,0,Ligue-2,60,2020-2021
Yanis Begraoui,fr FRA,FW,Auxerre,19,2001,19,0,171,1.9,2,0,2,0,0,0,0,1.05,0.00,1.05,1.05,1.05,6,3,50.0,3.16,1.58,0.33,0.67,,9,5.0,,,19,9,12,2.00,3,7,-4,-2.11,-2.80,0,3,2,2,0,1,1,,,0,Ligue-2,60,2020-2021
Alexis Beka Beka,fr FRA,"MF,DF",Caen,19,2001,25,18,1544,17.2,1,0,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,10,3,30.0,0.58,0.17,0.10,0.33,,62,45.1,78,,7,20,0,0.96,15,24,-9,-0.52,-0.24,0,39,20,0,11,30,22,,,0,Ligue-2,60,2020-2021
Gaëtan Belaud,fr FRA,DF,Paris FC,33,1986,24,23,1864,20.7,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,8,1,12.5,0.39,0.05,0.00,0.00,,78,54.5,81,,1,1,7,1.76,28,16,+12,+0.58,+0.35,0,36,37,0,50,49,27,,,0,Ligue-2,60,2020-2021
François Bellugou,fr FRA,MF,Auxerre,33,1987,12,3,391,4.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,2,1,50.0,0.46,0.23,0.00,0.00,,33,11.4,88,,9,14,17,1.75,5,8,-3,-0.69,-1.40,0,9,2,0,0,8,4,,,0,Ligue-2,60,2020-2021
Anthony Belmonte,fr FRA,MF,Grenoble,24,1995,19,8,846,9.4,2,0,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,12,5,41.7,1.28,0.53,0.17,0.40,,45,24.7,80,,11,19,3,1.67,13,8,+5,+0.53,+0.15,0,20,11,1,25,16,4,,,0,Ligue-2,60,2020-2021
Mohamed Ben Fredj,tn TUN,FW,Auxerre,20,2000,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,0,0.0,45.00,0.00,0.00,,,4,0.1,,,1,4,2,0.00,0,0,0,0.00,-0.55,0,0,0,0,0,0,0,,,0,Ligue-2,60,2020-2021
Ayman Ben Mohamed,tn TUN,"DF,MF",Le Havre,25,1994,12,11,948,10.5,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0,0,,0.00,0.00,,,,79,27.7,84,,1,24,6,1.33,8,14,-6,-0.57,-0.42,0,17,17,0,19,16,19,,,0,Ligue-2,60,2020-2021
Quentin Bena,fr FRA,DF,Niort,22,1998,5,1,115,1.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.78,0.00,0.00,,,23,3.5,90,,4,6,1,2.00,3,3,0,0.00,+0.67,0,1,2,0,0,0,1,,,0,Ligue-2,60,2020-2021
Jessy Bénet,fr FRA,MF,Grenoble,25,1995,34,30,2577,28.6,9,7,3,6,6,4,0,0.31,0.24,0.56,0.10,0.35,42,16,38.1,1.47,0.56,0.07,0.19,,76,75.4,82,,4,32,0,1.81,43,26,+17,+0.59,+0.70,0,37,40,7,101,29,27,,,0,Ligue-2,60,2020-2021
Yassine Benhattab,fr FRA,MF,Niort,17,2002,1,0,3,0.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,3,0.1,,,1,3,2,0.00,0,0,0,0.00,+0.65,0,1,0,0,0,0,0,,,0,Ligue-2,60,2020-2021
Godwin Bentil,gh GHA,FW,Le Havre,19,2001,7,4,312,3.5,1,0,1,0,0,2,0,0.29,0.00,0.29,0.29,0.29,5,3,60.0,1.44,0.87,0.20,0.33,,45,9.1,70,,3,11,3,1.86,3,3,0,0.00,+0.29,0,9,9,1,0,0,1,,,0,Ligue-2,60,2020-2021
Quentin Bernard,fr FRA,DF,Auxerre,31,1989,34,33,2903,32.3,1,3,1,0,0,6,0,0.03,0.09,0.12,0.03,0.12,10,4,40.0,0.31,0.12,0.10,0.25,,85,84.9,87,,1,27,1,1.68,62,37,+25,+0.78,+1.47,0,46,25,7,107,61,34,,,0,Ligue-2,60,2020-2021
Jason Berthomier,fr FRA,MF,Clermont Foot,30,1990,37,30,2365,26.3,5,10,5,0,0,1,0,0.19,0.38,0.57,0.19,0.57,61,21,34.4,2.32,0.80,0.08,0.24,,64,69.2,74,,7,19,0,1.95,43,16,+27,+1.03,+0.26,0,8,26,6,162,9,10,,,0,Ligue-2,60,2020-2021
Benjamin Bertrand,fr FRA,GK,Pau FC,28,1992,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,5.3,90,,0,,35,1.50,5,6,-1,-0.50,-0.33,0,0,0,0,0,0,0,,,0,Ligue-2,60,2020-2021
Dorian Bertrand,mg MAD,"MF,FW",Nancy,27,1993,22,15,1216,13.5,0,2,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,17,5,29.4,1.26,0.37,0.00,0.00,,55,35.6,66,,7,31,4,1.09,15,21,-6,-0.44,-0.69,0,12,27,1,36,9,3,,,0,Ligue-2,60,2020-2021
Steeve Beusnard,fr FRA,"MF,FW",Pau FC,28,1992,32,15,1478,16.4,3,2,3,0,0,4,0,0.18,0.12,0.30,0.18,0.30,24,5,20.8,1.46,0.30,0.13,0.60,,46,43.2,74,,17,22,1,1.25,18,14,+4,+0.24,+0.75,0,32,26,6,21,12,15,,,0,Ligue-2,60,2020-2021
Florian Bianchini,fr FRA,MF,Amiens,19,2001,16,1,361,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,8,1,12.5,1.99,0.25,0.00,0.00,,23,10.6,70,,15,19,3,1.19,3,6,-3,-0.75,-0.66,0,13,5,2,7,5,3,,,0,Ligue-2,60,2020-2021
Mickaël Biron,mq MTQ,"MF,FW",Nancy,22,1997,31,28,2404,26.7,12,2,12,0,0,5,0,0.45,0.07,0.52,0.45,0.52,57,21,36.8,2.13,0.79,0.21,0.57,,78,70.3,83,,3,28,0,1.29,38,35,+3,+0.11,+0.38,0,63,48,14,13,19,36,,,0,Ligue-2,60,2020-2021
Alexis Blin,fr FRA,MF,Amiens,23,1996,36,34,2905,32.3,1,0,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03,24,8,33.3,0.74,0.25,0.04,0.13,,81,84.9,85,,2,10,0,1.28,27,32,-5,-0.15,+0.02,0,58,52,1,33,39,53,,,1,Ligue-2,60,2020-2021
