Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,22,22,1980,22.0,30,1.36,98,65,70.4,11,4,7,5,22.7,2,1,1,0,50.0,1,4,0,30.9,0.31,+0.9,+0.04,141,350,40.3,395,83,57.0,45.1,168,74.4,55.4,202,6,3.0,4,0.18,11.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,95.7,90,22,0,,0,1.68,41,30,+11,+0.50,+1.50,33.0,27.7,+5.3,+0.24,+1.73,0,0,4,0,0,0,0,0,0,74,0,0,,Premier-League,9,2021-2022
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,12,1080,12.0,24,2.00,67,46,65.7,3,2,7,1,8.3,1,1,0,0,0.0,0,5,2,24.4,0.35,+2.4,+0.20,82,247,33.2,417,56,48.0,38.6,83,56.6,41.0,123,7,5.7,10,0.83,14.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,52.2,90,12,0,,10,0.92,13,24,-11,-0.92,-0.83,11.3,17.7,-6.4,-0.54,-0.94,0,0,3,0,0,0,0,0,0,68,0,0,,Premier-League,9,2021-2022
Fraser Forster,eng ENG,GK,Southampton,33,1988,5,5,450,5.0,8,1.60,26,20,76.9,2,2,1,0,0.0,2,2,0,0,0.0,0,1,0,9.9,0.31,+1.9,+0.39,40,111,36.0,119,10,62.2,49.8,47,78.7,55.1,68,7,10.3,4,0.80,12.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,22.7,90,5,0,,14,1.60,10,8,+2,+0.40,+0.99,5.3,8.6,-3.4,-0.67,-0.61,0,0,2,0,0,0,0,0,0,19,0,0,,Premier-League,9,2021-2022
Ben Foster,eng ENG,GK,Watford,38,1983,9,9,810,9.0,14,1.56,35,21,60.0,3,2,4,0,0.0,1,0,1,0,100.0,0,2,0,13.7,0.38,-0.3,-0.04,87,217,40.1,228,24,66.7,51.1,77,84.4,61.9,86,5,5.8,8,0.89,16.7,0,1,0,0,0,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,90,45.0,90,9,0,,2,1.22,14,14,0,0.00,+1.55,12.4,17.9,-5.5,-0.61,+0.29,0,0,1,0,0,0,0,0,0,40,0,0,,Premier-League,9,2021-2022
David de Gea,es ESP,GK,Manchester Utd,31,1990,22,22,1980,22.0,30,1.36,109,80,73.4,11,5,6,5,22.7,4,1,3,0,75.0,0,4,2,37.8,0.33,+9.8,+0.44,87,225,38.7,349,72,38.1,35.9,175,52.6,43.3,186,7,3.8,4,0.18,13.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,22,0,,0,1.73,36,30,+6,+0.27,,31.9,32.9,-1.0,-0.05,,0,0,1,0,0,0,0,0,0,63,0,0,,Premier-League,9,2021-2022
Vicente Guaita,es ESP,GK,Crystal Palace,35,1987,19,19,1710,19.0,28,1.47,80,55,68.8,5,7,7,5,26.3,3,3,0,0,0.0,1,9,0,23.7,0.27,-4.3,-0.23,102,211,48.3,480,107,32.5,32.0,123,44.7,35.6,153,13,8.5,10,0.53,14.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,86.4,90,19,0,,2,1.16,28,28,0,0.00,+1.00,25.7,21.9,+3.9,+0.20,+1.38,0,1,1,0,0,0,0,0,1,88,0,0,,Premier-League,9,2021-2022
Angus Gunn,eng ENG,GK,Norwich City,26,1996,3,3,270,3.0,8,2.67,13,7,53.8,1,0,2,1,33.3,2,2,0,0,0.0,0,0,0,6.4,0.35,-1.6,-0.53,22,55,40.0,76,8,59.2,42.9,20,50.0,42.0,21,0,0.0,4,1.33,16.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,13.6,90,3,0,,19,1.00,3,8,-5,-1.67,-0.25,2.1,5.5,-3.5,-1.15,-0.36,0,0,0,0,0,0,0,0,0,14,0,0,,Premier-League,9,2021-2022
Wayne Hennessey,wls WAL,GK,Burnley,35,1987,2,2,180,2.0,6,3.00,13,7,53.8,0,0,2,0,0.0,0,0,0,0,,0,1,1,3.3,0.27,-1.7,-0.84,26,65,40.0,58,8,75.9,57.4,22,95.5,70.0,20,1,5.0,3,1.50,15.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,90,11.1,90,2,0,,16,0.00,2,6,-4,-2.00,-1.56,1.8,3.6,-1.8,-0.92,-0.43,0,0,1,0,0,0,0,0,0,12,0,0,,Premier-League,9,2021-2022
Caoimhín Kelleher,ie IRL,GK,Liverpool,23,1998,2,2,180,2.0,2,1.00,8,5,75.0,1,1,0,1,50.0,0,0,0,0,,0,0,0,2.2,0.30,+0.2,+0.12,8,16,50.0,77,12,18.2,26.4,13,15.4,26.2,10,0,0.0,3,1.50,16.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,9.1,90,2,0,,18,2.00,7,2,+5,+2.50,+0.80,4.9,1.8,+3.1,+1.57,+0.17,0,0,1,0,0,0,0,0,0,11,0,0,,Premier-League,9,2021-2022
Tim Krul,nl NED,GK,Norwich City,33,1988,19,19,1710,19.0,37,1.95,95,61,65.3,3,4,12,3,15.8,5,4,1,0,20.0,0,5,2,34.0,0.33,-1.0,-0.05,131,342,38.3,571,94,46.1,40.3,147,53.7,45.0,168,7,4.2,8,0.42,12.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,86.4,90,19,0,,0,0.68,10,37,-27,-1.42,+0.25,16.8,32.0,-15.2,-0.80,+0.36,0,0,1,0,0,0,0,0,0,104,0,0,,Premier-League,9,2021-2022
Bernd Leno,de GER,GK,Arsenal,29,1992,3,3,270,3.0,9,3.00,18,8,50.0,0,0,3,0,0.0,0,0,0,0,,0,1,0,7.1,0.39,-1.9,-0.65,11,39,28.2,61,11,37.7,36.3,26,61.5,45.7,30,2,6.7,1,0.33,13.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,14.3,90,3,0,,14,0.00,0,9,-9,-3.00,-3.94,1.9,8.1,-6.2,-2.07,-2.53,0,0,0,0,0,0,0,0,0,12,0,0,,Premier-League,9,2021-2022
Hugo Lloris,fr FRA,GK,Tottenham,35,1986,20,20,1800,20.0,24,1.20,77,55,70.1,11,3,6,8,40.0,1,1,0,0,0.0,0,3,1,23.9,0.30,+0.9,+0.05,105,217,48.4,334,65,42.5,36.8,153,49.0,38.4,182,9,4.9,14,0.70,15.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.03,0.03,0.00,0.03,90,100.0,90,20,0,,0,1.80,26,24,+2,+0.10,,31.6,21.4,+10.2,+0.51,,0,0,3,0,0,0,0,0,0,76,0,1,0.0,Premier-League,9,2021-2022
Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,2,180,2.0,5,2.50,7,2,28.6,0,0,2,0,0.0,0,0,0,0,,0,0,0,3.7,0.54,-1.3,-0.63,13,30,43.3,49,6,53.1,38.9,13,30.8,34.4,14,0,0.0,4,2.00,19.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,8.7,90,2,0,,2,0.00,2,5,-3,-1.50,-1.07,3.5,2.6,+1.0,+0.48,+0.63,0,0,0,0,0,0,0,0,0,8,0,0,,Premier-League,9,2021-2022
