Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
8.0,Sat,2017-10-14,13:00,Athletic Club,1.6,1–0,1.7,Sevilla,40197.0,San MamÃ©s,Ignacio Iglesias,Match Report,,La-Liga,12,2017-2018
8.0,Sat,2017-10-14,16:15,Getafe,1.3,1–2,1.6,Real Madrid,15350.0,Coliseum Alfonso PÃ©rez,Juan MartÃ­nez,Match Report,,La-Liga,12,2017-2018
8.0,Sat,2017-10-14,18:30,Alavés,0.6,0–2,0.6,Real Sociedad,19840.0,Estadio de Mendizorroza,Alberola Rojas,Match Report,,La-Liga,12,2017-2018
8.0,Sat,2017-10-14,20:45,Atlético Madrid,0.5,1–1,1.2,Barcelona,64393.0,Estadio Wanda Metropolitano,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
8.0,Sun,2017-10-15,12:00,Eibar,0.6,0–0,0.3,La Coruña,5125.0,Estadio Municipal de IpurÃºa,Santiago Jaime,Match Report,,La-Liga,12,2017-2018
8.0,Sun,2017-10-15,16:15,Girona,1.5,1–2,0.9,Villarreal,9935.0,Estadi Municipal de Montilivi,Carlos del Cerro,Match Report,,La-Liga,12,2017-2018
8.0,Sun,2017-10-15,18:30,Málaga,0.6,0–2,2.0,Leganés,23951.0,Estadio La Rosaleda,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
8.0,Sun,2017-10-15,20:45,Betis,2.4,3–6,1.8,Valencia,48792.0,Estadio Benito VillamarÃ­n,JosÃ© SÃ¡nchez,Match Report,,La-Liga,12,2017-2018
8.0,Mon,2017-10-16,20:00,Las Palmas,2.3,2–5,1.2,Celta Vigo,15799.0,Estadio de Gran Canaria,David MediÃ©,Match Report,,La-Liga,12,2017-2018
9.0,Sat,2017-10-21,13:00,Levante,0.5,1–1,0.8,Getafe,18064.0,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,,La-Liga,12,2017-2018
9.0,Sat,2017-10-21,16:15,Betis,1.0,2–0,1.2,Alavés,49243.0,Estadio Benito VillamarÃ­n,Daniel Trujillo,Match Report,,La-Liga,12,2017-2018
9.0,Sat,2017-10-21,18:30,Valencia,1.6,4–0,1.1,Sevilla,44307.0,Estadio de Mestalla,Javier Estrada,Match Report,,La-Liga,12,2017-2018
9.0,Sat,2017-10-21,20:45,Barcelona,1.6,2–0,0.8,Málaga,74397.0,Camp Nou,Pablo GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
9.0,Sun,2017-10-22,12:00,Villarreal,2.5,4–0,1.1,Las Palmas,16606.0,Estadio de la CerÃ¡mica,David FernÃ¡ndez,Match Report,,La-Liga,12,2017-2018
9.0,Sun,2017-10-22,16:15,Celta Vigo,1.2,0–1,0.6,Atlético Madrid,12978.0,Estadio de BalaÃ­dos,JosÃ© Munuera,Match Report,,La-Liga,12,2017-2018
9.0,Sun,2017-10-22,18:30,Leganés,1.0,1–0,0.8,Athletic Club,11454.0,Estadio Municipal de Butarque,Antonio MatÃ©u Lahoz,Match Report,,La-Liga,12,2017-2018
9.0,Sun,2017-10-22,20:45,Real Madrid,1.3,3–0,0.7,Eibar,66781.0,Estadio Santiago BernabÃ©u,Alfonso Ãlvarez,Match Report,,La-Liga,12,2017-2018
9.0,Mon,2017-10-23,20:00,Real Sociedad,1.2,1–1,0.4,Espanyol,18515.0,Estadio Municipal de Anoeta,Mario Melero,Match Report,,La-Liga,12,2017-2018
9.0,Mon,2017-10-23,21:00,La Coruña,1.9,1–2,2.0,Girona,17463.0,Estadio Municipal de Riazor,JesÃºs Gil,Match Report,,La-Liga,12,2017-2018
10.0,Sat,2017-10-28,13:00,Alavés,0.9,1–2,1.2,Valencia,18638.0,Estadio de Mendizorroza,JosÃ© GonzÃ¡lez,Match Report,,La-Liga,12,2017-2018
