Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
25.0,Sun,2021-02-28,14:00,Celta Vigo,0.7,1–1,1.1,Valladolid,,Estadio de Balados,David Medi,La-Liga,12,2020-2021
25.0,Sun,2021-02-28,16:15,Cdiz,0.2,0–1,0.4,Betis,,Estadio Nuevo Mirandilla,Antonio Matu Lahoz,La-Liga,12,2020-2021
25.0,Sun,2021-02-28,18:30,Granada,1.0,2–1,0.8,Elche,,Estadio Nuevo Los Crmenes,Santiago Jaime,La-Liga,12,2020-2021
25.0,Sun,2021-02-28,21:00,Villarreal,1.3,0–2,0.5,Atltico Madrid,,Estadio de la Cermica,Ricardo de Burgos,La-Liga,12,2020-2021
25.0,Mon,2021-03-01,21:00,Real Madrid,1.7,1–1,0.5,Real Sociedad,,Estadio Alfredo Di Stfano,Jess Gil,La-Liga,12,2020-2021
26.0,Fri,2021-03-05,21:00,Valencia,2.1,2–1,2.1,Villarreal,,Estadio de Mestalla,Javier Estrada,La-Liga,12,2020-2021
26.0,Sat,2021-03-06,14:00,Valladolid,0.9,2–1,0.6,Getafe,,Estadio Municipal Jos Zorrilla,Mario Melero,La-Liga,12,2020-2021
26.0,Sat,2021-03-06,16:15,Elche,0.6,2–1,0.9,Sevilla,,Estadio Manuel Martnez Valero,Valentn Pizarro,La-Liga,12,2020-2021
26.0,Sat,2021-03-06,18:30,Cdiz,1.1,1–0,1.7,Eibar,,Estadio Nuevo Mirandilla,Carlos del Cerro,La-Liga,12,2020-2021
26.0,Sat,2021-03-06,21:00,Osasuna,1.2,0–2,1.2,Barcelona,,Estadio El Sadar,Guillermo Cuadra,La-Liga,12,2020-2021
26.0,Sun,2021-03-07,14:00,Huesca,1.9,3–4,0.9,Celta Vigo,,Estadio El Alcoraz,Jos Luis Munuera,La-Liga,12,2020-2021
26.0,Sun,2021-03-07,16:15,Atltico Madrid,1.1,1–1,2.2,Real Madrid,,Estadio Wanda Metropolitano,Alejandro Hernndez,La-Liga,12,2020-2021
26.0,Sun,2021-03-07,18:30,Real Sociedad,4.3,1–0,0.2,Levante,,Estadio Municipal de Anoeta,Csar Soto,La-Liga,12,2020-2021
26.0,Sun,2021-03-07,21:00,Athletic Club,1.2,2–1,1.5,Granada,,San Mams,Juan Martnez,La-Liga,12,2020-2021
26.0,Mon,2021-03-08,21:00,Betis,2.0,3–2,0.4,Alavs,,Estadio Benito Villamarn,Alberola Rojas,La-Liga,12,2020-2021
18.0,Wed,2021-03-10,19:00,Atltico Madrid,1.5,2–1,0.6,Athletic Club,,Estadio Wanda Metropolitano,Jess Gil,La-Liga,12,2020-2021
27.0,Fri,2021-03-12,21:00,Levante,0.9,1–0,0.8,Valencia,,Estadio Ciudad de Valencia,Guillermo Cuadra,La-Liga,12,2020-2021
27.0,Sat,2021-03-13,14:00,Alavs,1.3,1–1,1.7,Cdiz,,Estadio de Mendizorroza,Isidro Daz de Mera,La-Liga,12,2020-2021
27.0,Sat,2021-03-13,16:15,Real Madrid,1.8,2–1,0.5,Elche,,Estadio Alfredo Di Stfano,Jorge Figueroa,La-Liga,12,2020-2021
27.0,Sat,2021-03-13,18:30,Osasuna,0.8,0–0,1.5,Valladolid,,Estadio El Sadar,Ricardo de Burgos,La-Liga,12,2020-2021
27.0,Sat,2021-03-13,21:00,Getafe,0.3,0–0,1.8,Atltico Madrid,,Coliseum Alfonso Prez,Jos Snchez,La-Liga,12,2020-2021
27.0,Sun,2021-03-14,14:00,Celta Vigo,0.6,0–0,0.7,Athletic Club,,Estadio de Balados,Santiago Jaime,La-Liga,12,2020-2021
27.0,Sun,2021-03-14,16:15,Granada,0.4,1–0,0.3,Real Sociedad,,Estadio Nuevo Los Crmenes,Pablo Gonzlez,La-Liga,12,2020-2021
27.0,Sun,2021-03-14,18:30,Eibar,1.9,1–3,3.1,Villarreal,,Estadio Municipal de Ipura,David Medi,La-Liga,12,2020-2021
