Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Cédric Avinel,gp GLP,DF,Ajaccio,35,1986,12,10,954,10.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.09,0.0,0.0,,,80,75.7,90.0,10,2,27.0,2,1.83,12,7,5,0.47,-0.41,0,6,5,0,0,8,2,,,0,Ligue-2,60,2021-2022
Damon Bansais,fr FRA,DF,Quevilly-Rouen,27,1994,13,12,1054,11.7,0,1,0,0,0,5,0,0.0,0.09,0.09,0.0,0.09,3,1,33.3,0.26,0.09,0.0,0.0,,81,83.7,86.0,10,1,23.0,0,1.23,12,16,-4,-0.34,0.53,0,27,22,0,12,21,14,,,0,Ligue-2,60,2021-2022
Daniel Congré,fr FRA,DF,Dijon,36,1985,13,13,1170,13.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,10,2,20.0,0.77,0.15,0.0,0.0,,90,92.9,90.0,13,0,,0,1.23,13,17,-4,-0.31,1.69,0,10,11,0,0,20,20,,,0,Ligue-2,60,2021-2022
Darlin Yongwa,cm CMR,DF,Niort,21,2000,13,13,1143,12.7,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,9,1,11.1,0.71,0.08,0.0,0.0,,88,90.7,88.0,12,0,,0,1.38,13,12,1,0.08,-0.69,1,23,26,1,22,27,17,,,0,Ligue-2,60,2021-2022
David Gomis,gw GNB,MF,Pau FC,28,1992,14,7,655,7.3,1,0,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,11,2,18.2,1.51,0.27,0.09,0.5,,47,52.0,68.0,0,7,26.0,0,1.5,8,6,2,0.27,0.27,0,5,9,3,4,5,5,,,0,Ligue-2,60,2021-2022
David Henen,tg TOG,"MF,FW",Grenoble,25,1996,10,5,459,5.1,1,1,1,0,0,1,0,0.2,0.2,0.39,0.2,0.39,10,3,30.0,1.96,0.59,0.1,0.33,,46,36.4,76.0,1,5,16.0,2,1.6,5,7,-2,-0.39,-0.17,0,4,6,1,6,1,0,,,0,Ligue-2,60,2021-2022
Demba Thiam,fr FRA,"DF,MF",Dunkerque,31,1989,13,12,1090,12.1,0,2,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,2,0,0.0,0.17,0.0,0.0,,,84,86.5,90.0,12,1,10.0,0,1.0,11,15,-4,-0.33,-0.86,0,9,23,0,36,20,8,,,0,Ligue-2,60,2021-2022
Denis Genreau,au AUS,MF,Toulouse,22,1999,11,6,524,5.8,0,3,0,0,0,1,0,0.0,0.52,0.52,0.0,0.52,8,1,12.5,1.37,0.17,0.0,0.0,,48,41.6,72.0,2,5,19.0,0,2.0,15,8,7,1.2,-0.27,0,16,4,1,13,4,10,,,0,Ligue-2,60,2021-2022
Dimitri Boudaud,fr FRA,MF,Dunkerque,34,1987,3,0,31,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,10,2.5,,0,3,10.0,3,0.67,0,0,0,0.0,0.22,0,1,1,0,2,0,1,,,0,Ligue-2,60,2021-2022
Djibril Dianessy,fr FRA,MF,Pau FC,25,1996,7,2,230,2.6,1,0,1,0,0,0,0,0.39,0.0,0.39,0.39,0.39,7,4,57.1,2.74,1.57,0.14,0.25,,33,18.3,66.0,0,5,20.0,5,1.14,2,2,0,0.0,-0.17,0,4,2,3,12,3,3,,,0,Ligue-2,60,2021-2022
Donovan Léon,gf GUF,GK,Auxerre,29,1992,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,100.0,90.0,14,0,,0,1.86,21,14,7,0.5,,0,1,4,0,0,1,2,,,0,Ligue-2,60,2021-2022
Dorian Bertrand,fr FRA,MF,Nancy,28,1993,6,2,192,2.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,1,33.3,1.41,0.47,0.0,0.0,,32,15.2,69.0,0,4,14.0,1,0.83,1,2,-1,-0.47,0.63,0,3,6,0,6,4,1,,,0,Ligue-2,60,2021-2022
Doumé Guidi,fr FRA,DF,Bastia,25,1996,5,4,391,4.3,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,5,0,0.0,1.15,0.0,0.0,,,78,31.0,90.0,4,1,31.0,6,0.4,1,3,-2,-0.46,-0.15,0,3,5,0,0,4,4,,,0,Ligue-2,60,2021-2022
Driss Trichard,fr FRA,"MF,DF",Dunkerque,26,1995,8,6,582,6.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,73,46.2,90.0,6,2,21.0,2,1.75,9,7,2,0.31,0.97,0,12,8,0,20,9,10,,,0,Ligue-2,60,2021-2022
Duckens Nazon,ht HAI,FW,Quevilly-Rouen,27,1994,8,7,568,6.3,3,0,3,0,0,4,0,0.48,0.0,0.48,0.48,0.48,28,5,17.9,4.44,0.79,0.11,0.6,,71,45.1,81.0,3,1,1.0,0,1.5,6,10,-4,-0.63,-0.37,0,15,10,8,4,1,1,,,0,Ligue-2,60,2021-2022
Dylan G'Beuly,fr FRA,FW,Quevilly-Rouen,20,2000,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,4,0.3,,0,1,4.0,1,0.0,0,0,0,0.0,0.43,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Dylan Louiserre,fr FRA,MF,Niort,26,1995,14,13,1179,13.1,1,2,1,0,0,3,0,0.08,0.15,0.23,0.08,0.23,15,5,33.3,1.15,0.38,0.07,0.2,,84,93.6,90.0,12,1,13.0,0,1.5,15,13,2,0.15,0.15,0,14,22,0,3,14,16,,,0,Ligue-2,60,2021-2022
Désiré Segbé Azankpo,bj BEN,"FW,MF",Dunkerque,28,1993,11,8,683,7.6,1,0,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13,17,6,35.3,2.24,0.79,0.06,0.17,,62,54.2,78.0,3,3,20.0,1,1.09,7,8,-1,-0.13,0.18,0,19,3,2,13,1,3,,,0,Ligue-2,60,2021-2022
Ebenezer Assifuah,gh GHA,FW,Pau FC,28,1993,14,7,645,7.2,4,0,4,0,0,1,0,0.56,0.0,0.56,0.56,0.56,26,10,38.5,3.63,1.4,0.15,0.4,,46,51.2,69.0,0,7,23.0,0,1.5,8,7,1,0.14,-0.01,0,24,21,9,12,3,8,,,0,Ligue-2,60,2021-2022
Eddy Gnahoré,fr FRA,MF,Amiens,27,1993,2,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,4.5,0.0,0.0,,,10,1.6,,0,2,10.0,0,2.0,0,0,0,0.0,0.15,0,1,0,0,0,0,2,,,0,Ligue-2,60,2021-2022
Eddy Sylvestre,fr FRA,MF,Pau FC,22,1999,12,3,287,3.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5,1,20.0,1.57,0.31,0.0,0.0,,24,22.8,59.0,0,9,12.0,1,1.67,4,1,3,0.94,1.03,0,11,6,0,9,3,7,,,0,Ligue-2,60,2021-2022
El-Hadji Ba,fr FRA,MF,Guingamp,28,1993,7,4,360,4.0,1,0,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25,3,1,33.3,0.75,0.25,0.33,1.0,,51,28.6,77.0,0,3,18.0,3,1.57,5,4,1,0.25,0.45,0,11,10,0,0,5,11,,,0,Ligue-2,60,2021-2022
Elies Mahmoud,fr FRA,FW,Le Havre,20,2001,1,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,14,1.1,,0,1,14.0,2,0.0,0,0,0,0.0,-0.43,0,0,0,0,3,0,0,,,0,Ligue-2,60,2021-2022
Elliot Simoes,ao ANG,"MF,FW",Nancy,21,1999,7,2,197,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,1,50.0,0.91,0.46,0.0,0.0,,28,15.6,52.0,0,5,19.0,0,0.86,2,4,-2,-0.91,0.1,0,4,3,0,9,1,3,,,0,Ligue-2,60,2021-2022
Elías Már Ómarsson,is ISL,FW,Nîmes,26,1995,9,5,436,4.8,1,0,1,0,0,2,0,0.21,0.0,0.21,0.21,0.21,7,2,28.6,1.44,0.41,0.14,0.5,,48,34.6,67.0,1,4,25.0,0,0.89,3,4,-1,-0.21,0.01,0,8,5,2,0,0,0,,,0,Ligue-2,60,2021-2022
Emmanuel Lomotey,gh GHA,"MF,DF",Amiens,23,1997,10,9,794,8.8,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.57,0.0,0.0,,,79,63.0,87.0,7,1,14.0,0,1.1,13,11,2,0.23,1.0,1,14,14,0,3,16,6,,,0,Ligue-2,60,2021-2022
Emmanuel Ntim,gh GHA,DF,Valenciennes,25,1996,14,14,1234,13.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,9,2,22.2,0.66,0.15,0.0,0.0,,88,97.9,88.0,12,0,,0,1.07,12,21,-9,-0.66,2.81,0,16,17,0,2,30,10,,,0,Ligue-2,60,2021-2022
Enzo Basilio,fr FRA,GK,Guingamp,27,1994,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,100.0,90.0,14,0,,0,1.29,16,17,-1,-0.07,,0,1,1,0,0,0,0,,,0,Ligue-2,60,2021-2022
Enzo Fernández,es ESP,MF,Rodez Aveyron,26,1995,10,2,224,2.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,1.21,0.0,0.0,,,22,17.8,64.0,0,8,12.0,2,1.0,2,3,-1,-0.4,-0.58,0,8,1,0,15,4,2,,,0,Ligue-2,60,2021-2022
Enzo Philibert,fr FRA,DF,Nîmes,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,6,0.5,,0,1,6.0,8,0.0,0,0,0,0.0,0.22,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Erwan Belhadji,fr FRA,MF,Dijon,20,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1.0,0.0,0.0,,,90,7.1,90.0,1,0,,5,0.0,0,2,-2,-2.0,-1.69,0,0,0,0,3,1,0,,,0,Ligue-2,60,2021-2022
Erwin Koffi,fr FRA,DF,Pau FC,26,1995,13,13,1170,13.0,1,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,4,2,50.0,0.31,0.15,0.25,0.5,,90,92.9,90.0,13,0,,0,1.38,13,12,1,0.08,-0.92,0,8,14,1,43,12,8,,,0,Ligue-2,60,2021-2022
Evens Joseph,fr FRA,FW,Caen,22,1999,2,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,18,2.9,,0,2,18.0,1,0.5,0,0,0,0.0,0.0,0,3,1,0,2,0,2,,,0,Ligue-2,60,2021-2022
Farés Mehenni,fr FRA,FW,Nancy,19,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,1,0.1,,0,1,1.0,1,0.0,0,1,-1,-90.0,-89.07,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Fernand Mayembo,cg CGO,DF,Le Havre,25,1996,8,8,708,7.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4,1,25.0,0.51,0.13,0.0,0.0,,89,56.2,89.0,7,0,,0,1.88,9,5,4,0.51,0.18,0,5,6,0,0,15,2,,,0,Ligue-2,60,2021-2022
Florent Hanin,dz ALG,"DF,MF",Paris FC,31,1990,14,13,1142,12.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,1,16.7,0.47,0.08,0.0,0.0,,82,90.6,87.0,10,1,10.0,0,1.5,15,13,2,0.16,0.16,0,7,17,1,39,17,14,,,0,Ligue-2,60,2021-2022
Florentin Pogba,gn GUI,DF,Sochaux,31,1990,13,13,1170,13.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.31,0.0,0.0,,,90,92.9,90.0,13,0,,0,2.08,14,7,7,0.54,0.54,0,8,3,0,0,11,12,,,0,Ligue-2,60,2021-2022
Florian Chabrolle,fr FRA,MF,Ajaccio,23,1998,5,2,176,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.51,0.0,0.0,,,35,14.0,83.0,1,3,4.0,6,1.4,2,1,1,0.51,-0.07,0,5,4,0,0,1,3,,,0,Ligue-2,60,2021-2022
Florian David,gp GLP,FW,Rodez Aveyron,28,1992,13,6,540,6.0,2,1,2,0,0,1,0,0.33,0.17,0.5,0.33,0.5,24,11,45.8,4.0,1.83,0.08,0.18,,42,42.9,67.0,0,7,19.0,1,1.23,8,6,2,0.33,0.46,0,3,5,4,11,3,0,,,0,Ligue-2,60,2021-2022
Florian Jozefzoon,sr SUR,MF,Quevilly-Rouen,30,1991,8,7,543,6.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8,4,50.0,1.33,0.66,0.0,0.0,,68,43.1,71.0,2,1,45.0,0,1.13,4,9,-5,-0.83,-0.7,0,5,4,3,20,4,5,,,0,Ligue-2,60,2021-2022
Florian Michel,fr FRA,MF,Grenoble,29,1992,8,7,536,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,4,40.0,1.68,0.67,0.0,0.0,,67,42.5,74.0,0,1,16.0,0,1.75,11,3,8,1.34,2.83,0,8,10,0,7,15,7,,,0,Ligue-2,60,2021-2022
Floyd Ayité,tg TOG,"FW,MF",Valenciennes,32,1988,11,8,627,7.0,0,2,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29,12,3,25.0,1.72,0.43,0.0,0.0,,57,49.8,70.0,3,3,21.0,0,1.18,8,13,-5,-0.72,-0.01,0,14,19,11,14,2,3,,,0,Ligue-2,60,2021-2022
Formose Mendy,sn SEN,DF,Amiens,20,2001,10,9,804,8.9,1,0,1,0,0,0,0,0.11,0.0,0.11,0.11,0.11,4,1,25.0,0.45,0.11,0.25,1.0,,80,63.8,89.0,8,1,6.0,3,1.1,7,5,2,0.22,1.01,0,4,12,0,1,19,14,,,0,Ligue-2,60,2021-2022
Franck-Yves Bambock,fr FRA,"MF,DF",Grenoble,26,1995,8,6,593,6.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.15,0.0,0.0,,,74,47.1,90.0,5,2,28.0,0,1.75,10,6,4,0.61,1.69,0,8,14,0,0,10,6,,,0,Ligue-2,60,2021-2022
Franklin Wadja,cm CMR,MF,Caen,26,1995,11,8,730,8.1,1,0,1,0,0,2,0,0.12,0.0,0.12,0.12,0.12,9,1,11.1,1.11,0.12,0.11,1.0,,66,57.9,79.0,5,3,33.0,0,1.27,8,9,-1,-0.12,-0.29,0,13,9,0,1,13,17,,,0,Ligue-2,60,2021-2022
Frantzdy Pierrot,ht HAI,FW,Guingamp,24,1997,11,6,637,7.1,5,1,5,0,0,4,0,0.71,0.14,0.85,0.71,0.85,16,8,50.0,2.26,1.13,0.31,0.63,,58,50.6,84.0,4,5,27.0,0,1.45,11,10,1,0.14,0.43,0,16,9,6,1,1,2,,,0,Ligue-2,60,2021-2022
François-Joseph Sollacaro,fr FRA,GK,Ajaccio,27,1994,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,14.3,90.0,2,0,,10,2.33,5,1,4,2.0,1.67,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Frédéric Sammaritano,fr FRA,MF,Dijon,35,1986,8,1,159,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,2,40.0,2.83,1.13,0.0,0.0,,20,12.6,60.0,0,7,14.0,5,0.88,3,5,-2,-1.13,-0.81,0,1,2,1,7,0,3,,,0,Ligue-2,60,2021-2022
Gaoussou Traoré,fr FRA,MF,Amiens,21,1999,2,1,67,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,34,5.3,66.0,0,1,1.0,2,0.5,1,1,0,0.0,0.15,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Garland Gbelle,fr FRA,MF,Quevilly-Rouen,28,1992,13,12,1025,11.4,4,1,3,1,1,1,0,0.35,0.09,0.44,0.26,0.35,18,7,38.9,1.58,0.61,0.17,0.43,,79,81.3,84.0,9,1,13.0,0,1.23,12,15,-3,-0.26,0.89,0,26,10,2,10,13,9,,,0,Ligue-2,60,2021-2022
Gauthier Hein,fr FRA,"MF,FW",Auxerre,25,1996,14,14,1172,13.0,2,5,2,0,0,2,0,0.15,0.38,0.54,0.15,0.54,18,7,38.9,1.38,0.54,0.11,0.29,,84,93.0,84.0,5,0,,0,1.86,19,11,8,0.61,1.64,0,15,10,2,41,4,8,,,0,Ligue-2,60,2021-2022
Gaëtan Charbonnier,fr FRA,"FW,MF",Auxerre,32,1988,11,10,921,10.2,7,2,7,0,0,2,0,0.68,0.2,0.88,0.68,0.88,25,14,56.0,2.44,1.37,0.28,0.5,,84,73.1,89.0,9,1,28.0,0,1.55,14,11,3,0.29,-0.77,0,27,12,12,5,3,9,,,0,Ligue-2,60,2021-2022
Gaëtan Courtet,fr FRA,FW,Ajaccio,32,1989,13,13,1115,12.4,3,2,3,0,0,6,0,0.24,0.16,0.4,0.24,0.4,24,11,45.8,1.94,0.89,0.13,0.27,,86,88.5,86.0,8,0,,0,1.85,15,7,8,0.65,0.65,0,40,18,3,10,9,3,,,0,Ligue-2,60,2021-2022
Gaëtan Laura,fr FRA,FW,Paris FC,26,1995,12,9,803,8.9,3,2,3,0,0,2,1,0.34,0.22,0.56,0.34,0.56,26,14,53.8,2.91,1.57,0.12,0.21,,67,63.7,83.0,2,3,19.0,0,1.5,11,12,-1,-0.11,-0.7,0,16,8,4,20,2,6,,,0,Ligue-2,60,2021-2022
Gaëtan Paquiez,fr FRA,DF,Nîmes,27,1994,10,2,256,2.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,26,20.3,68.0,1,8,15.0,3,0.9,3,6,-3,-1.05,-1.05,0,6,4,0,6,1,5,,,0,Ligue-2,60,2021-2022
Gaëtan Perrin,fr FRA,"FW,MF",Auxerre,25,1996,14,10,824,9.2,2,0,2,0,0,1,0,0.22,0.0,0.22,0.22,0.22,18,7,38.9,1.97,0.76,0.11,0.29,,59,65.4,73.0,1,4,23.0,0,1.86,17,6,11,1.2,2.03,0,13,14,2,22,5,7,,,0,Ligue-2,60,2021-2022
Gaëtan Robail,fr FRA,"FW,MF",Valenciennes,27,1994,14,13,1131,12.6,4,2,4,0,0,2,0,0.32,0.16,0.48,0.32,0.48,37,15,40.5,2.94,1.19,0.11,0.27,,81,89.8,85.0,7,1,32.0,0,1.07,11,18,-7,-0.56,1.54,0,22,12,4,81,12,12,,,0,Ligue-2,60,2021-2022
Gaëtan Weissbeck,fr FRA,MF,Sochaux,24,1997,13,12,1093,12.1,2,1,2,0,0,3,0,0.16,0.08,0.25,0.16,0.25,36,16,44.4,2.96,1.32,0.06,0.13,,84,86.7,89.0,10,1,31.0,0,1.92,10,5,5,0.41,-0.67,0,22,12,1,51,13,10,,,0,Ligue-2,60,2021-2022
Gedeon Kalulu,cd COD,DF,Ajaccio,24,1997,13,10,926,10.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,3,1,33.3,0.29,0.1,0.0,0.0,,71,73.5,87.0,7,3,19.0,1,1.69,10,6,4,0.39,-0.69,0,11,9,1,16,16,22,,,1,Ligue-2,60,2021-2022
Giorgi Kokhreidze,ge GEO,MF,Grenoble,22,1998,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,15,1.2,,0,1,15.0,1,1.0,0,1,-1,-6.0,-5.78,0,1,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Giovanni Haag,fr FRA,"MF,DF",Nancy,21,2000,7,7,482,5.4,1,0,1,0,0,4,4,0.19,0.0,0.19,0.19,0.19,14,3,21.4,2.61,0.56,0.07,0.33,,69,38.3,69.0,2,0,,0,0.86,4,9,-5,-0.93,0.11,2,13,18,0,6,8,12,,,0,Ligue-2,60,2021-2022
Gregoire Lefebvre,fr FRA,MF,Nancy,27,1994,11,7,558,6.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.48,0.0,0.0,,,51,44.3,74.0,3,4,10.0,3,0.55,3,14,-11,-1.77,-1.39,0,11,13,0,11,2,9,,,0,Ligue-2,60,2021-2022
Gustavo Sangaré,bf BFA,MF,Quevilly-Rouen,24,1996,13,10,860,9.6,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,9,2,22.2,0.94,0.21,0.0,0.0,,66,68.3,80.0,5,3,19.0,0,1.23,10,11,-1,-0.1,1.02,0,21,27,1,4,23,19,,,0,Ligue-2,60,2021-2022
Guy-Marcelin Kilama,cm CMR,DF,Niort,22,1999,5,4,345,3.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,69,27.4,78.0,3,1,34.0,2,2.4,8,4,4,1.04,1.24,0,2,7,0,0,7,4,,,0,Ligue-2,60,2021-2022
Hady Camara,gn GUI,DF,Guingamp,19,2002,6,5,504,5.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.54,0.0,0.0,,,84,40.0,90.0,5,1,54.0,3,1.17,5,8,-3,-0.54,-0.77,0,4,4,1,0,16,4,,,0,Ligue-2,60,2021-2022
Hamza Sakhi,ma MAR,MF,Auxerre,25,1996,10,9,839,9.3,2,1,2,0,0,0,0,0.21,0.11,0.32,0.21,0.32,20,9,45.0,2.15,0.97,0.1,0.22,,84,66.6,90.0,9,1,29.0,0,1.7,13,6,7,0.75,0.75,0,11,27,0,42,7,13,,,0,Ligue-2,60,2021-2022
Harouna Sy,fr FRA,"DF,MF",Amiens,25,1996,11,10,816,9.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.22,0.0,0.0,,,74,64.8,82.0,6,1,1.0,1,1.0,7,9,-2,-0.22,-0.22,0,9,11,1,25,18,10,,,0,Ligue-2,60,2021-2022
Harouna Sy,fr FRA,DF,Dunkerque,25,1996,1,1,90,1.0,0,1,0,0,0,1,0,0.0,1.0,1.0,0.0,1.0,1,1,100.0,1.0,1.0,0.0,0.0,,90,7.1,90.0,1,0,,0,1.0,1,1,0,0.0,0.23,0,2,5,0,1,0,0,,,0,Ligue-2,60,2021-2022
Hatim Far,fr FRA,MF,Rodez Aveyron,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,10,0.8,,0,1,10.0,1,3.0,0,0,0,0.0,-0.07,0,0,0,0,0,0,0,,,0,Ligue-2,60,2021-2022
Hermann Tebily,fr FRA,FW,Sochaux,19,2002,9,2,184,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,1.96,0.0,0.0,,,20,14.6,53.0,0,7,11.0,4,2.11,3,2,1,0.49,-0.01,0,9,2,4,5,1,2,,,0,Ligue-2,60,2021-2022
Himad Abdelli,fr FRA,MF,Le Havre,21,1999,2,0,30,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,15,2.4,,0,2,15.0,4,1.5,0,0,0,0.0,-0.44,0,2,3,0,0,1,0,,,0,Ligue-2,60,2021-2022
Ibrahim Cissé,sn SEN,DF,Caen,25,1996,4,3,229,2.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,57,18.2,69.0,1,1,21.0,0,0.25,0,3,-3,-1.18,-1.44,0,0,1,0,0,6,1,,,0,Ligue-2,60,2021-2022
Ibrahim Cissé,sn SEN,DF,Dunkerque,25,1996,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,90,14.3,90.0,2,0,,1,0.5,2,3,-1,-0.5,-0.33,0,2,5,0,1,5,0,,,0,Ligue-2,60,2021-2022
Ibrahim Sissoko,ml MLI,FW,Niort,25,1995,4,1,113,1.3,1,0,1,0,0,1,0,0.8,0.0,0.8,0.8,0.8,3,2,66.7,2.39,1.59,0.33,0.5,,28,9.0,59.0,0,3,18.0,0,1.75,2,2,0,0.0,-0.16,0,2,2,1,0,0,2,,,0,Ligue-2,60,2021-2022
Ibrahima Conté,gn GUI,DF,Niort,25,1996,12,12,1080,12.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.25,0.0,0.0,,,90,85.7,90.0,12,0,,2,1.25,10,12,-2,-0.17,-2.17,0,9,6,0,0,16,5,,,1,Ligue-2,60,2021-2022
Idriss Saadi,dz ALG,FW,Bastia,29,1992,10,5,380,4.2,1,0,1,0,0,0,0,0.24,0.0,0.24,0.24,0.24,4,1,25.0,0.95,0.24,0.25,1.0,,38,30.2,55.0,0,5,21.0,0,1.1,1,4,-3,-0.71,-0.51,0,7,1,4,0,0,0,,,0,Ligue-2,60,2021-2022
Ilyes Hamache,fr FRA,"MF,FW",Valenciennes,18,2003,5,2,212,2.4,1,0,1,0,0,1,0,0.42,0.0,0.42,0.42,0.42,6,4,66.7,2.55,1.7,0.17,0.25,,42,16.8,77.0,1,3,20.0,5,1.8,2,5,-3,-1.27,-0.67,0,4,1,2,4,4,4,,,0,Ligue-2,60,2021-2022
Ilyes Najim,fr FRA,MF,Caen,19,2002,1,1,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,12.0,0.0,0.0,,,15,1.2,15.0,0,0,,0,3.0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,,,0,Ligue-2,60,2021-2022
Iron Gomis,fr FRA,MF,Amiens,21,1999,12,5,459,5.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.39,0.0,0.0,,,38,36.4,67.0,0,7,17.0,0,0.75,3,9,-6,-1.18,-1.63,0,10,17,0,7,3,4,,,0,Ligue-2,60,2021-2022
Ismael Aaneba,fr FRA,DF,Sochaux,22,1999,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.07,0.0,0.0,,,90,100.0,90.0,14,0,,0,2.0,14,7,7,0.5,,0,5,8,0,2,27,13,,,0,Ligue-2,60,2021-2022
Ismael Diallo,ci CIV,DF,Ajaccio,24,1997,10,9,837,9.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.11,0.0,0.0,,,84,66.4,85.0,5,1,74.0,0,1.7,7,5,2,0.22,-1.06,0,10,9,0,23,10,15,,,0,Ligue-2,60,2021-2022
