Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Zinedine Ferhat,dz ALG,MF,Le Havre,24,1993,35,35,3122,34.7,4,20,4,0,0,8,0,0.12,0.58,0.69,0.12,0.69,0,21,,0.00,0.61,,0.19,,89,91.3,,31,0,,0,1.70,46,30,+16,+0.46,-0.44,0,30,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Rodéric Filippi,fr FRA,DF,Tours,28,1989,12,10,905,10.1,1,1,1,0,0,3,0,0.10,0.10,0.20,0.10,0.20,0,1,,0.00,0.10,,1.00,,75,26.5,,9,2,,2,1.33,15,14,+1,+0.10,+1.35,0,13,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Jean-François Finidori,fr FRA,MF,Gazélec Ajaccio,18,1999,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,0,,,0.00,,,,17,1.0,,0,2,,0,1.50,0,0,0,0.00,+0.66,,0,,,,,,,,,Ligue-2,60,2017-2018
Ivan Firer,si SVN,FW,Auxerre,32,1984,12,7,628,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,4,,0.00,0.57,,0.00,,52,18.4,,2,5,,2,1.25,5,7,-2,-0.29,-0.22,0,15,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Matthias Fischer,fr FRA,DF,Nancy,19,1998,3,0,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,0,,,0.00,,,,27,2.3,,0,3,,6,2.00,0,2,-2,-2.25,-1.90,,1,,,,,,,,,Ligue-2,60,2017-2018
Nama Fofana,fr FRA,"MF,DF",Châteauroux,27,1990,20,10,1018,11.3,2,2,2,0,0,2,0,0.18,0.18,0.35,0.18,0.35,0,4,,0.00,0.35,,0.50,,51,29.8,,9,10,,14,1.60,15,13,+2,+0.18,+0.25,0,13,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Lamine Fomba,fr FRA,MF,Auxerre,19,1998,6,5,456,5.1,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0,1,,0.00,0.20,,0.00,,76,13.3,,4,1,,4,0.67,6,9,-3,-0.59,-0.56,0,12,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Jean-Pascal Fontaine,fr FRA,MF,Le Havre,28,1989,36,33,2996,33.3,6,6,6,0,0,4,0,0.18,0.18,0.36,0.18,0.36,0,20,,0.00,0.60,,0.30,,83,87.6,,31,3,,0,1.76,45,26,+19,+0.57,+0.57,0,39,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Thomas Fontaine,mg MAD,DF,Clermont Foot,26,1991,35,35,3126,34.7,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0,1,,0.00,0.03,,0.00,,89,91.4,,34,0,,0,1.63,46,32,+14,+0.40,-0.82,0,33,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Kevin Fortune,mq MTQ,"FW,MF",Lens,27,1989,36,31,2825,31.4,9,9,5,4,4,2,0,0.29,0.29,0.57,0.16,0.45,0,27,,0.00,0.86,,0.19,,78,82.6,,26,5,,2,1.08,41,44,-3,-0.10,-0.40,0,38,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Jeando Fuchs,cm CMR,"MF,DF",Sochaux,19,1997,31,25,2273,25.3,1,3,1,0,0,3,1,0.04,0.12,0.16,0.04,0.16,0,4,,0.00,0.16,,0.25,,73,66.5,,21,6,,4,1.42,34,41,-7,-0.28,+0.04,0,43,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Francois-Xavier Fumu Tamuzo,fr FRA,"MF,FW",Auxerre,22,1995,15,5,593,6.6,2,1,2,0,0,0,0,0.30,0.15,0.46,0.30,0.46,0,6,,0.00,0.91,,0.33,,40,17.3,,3,10,,4,1.27,12,10,+2,+0.30,+0.49,0,3,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Steve Furtado,cv CPV,DF,Orléans,22,1994,21,20,1754,19.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,84,51.3,,17,1,,9,1.19,27,35,-8,-0.41,-0.36,0,0,0,0,0,0,0,0,0,1,Ligue-2,60,2017-2018
Marvin Gakpa,fr FRA,MF,Quevilly-Rouen,23,1993,36,33,2886,32.1,9,4,9,0,0,3,0,0.28,0.12,0.41,0.28,0.41,0,29,,0.00,0.90,,0.31,,80,84.4,,21,3,,0,0.92,40,51,-11,-0.34,+1.34,0,32,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Gauthier Gallon,fr FRA,GK,Orléans,24,1993,29,29,2610,29.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,90,76.3,,29,0,,3,1.24,39,47,-8,-0.28,-0.16,0,1,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Thomas Gamiette,gp GLP,MF,Bourg-Péronnas,31,1986,15,7,753,8.4,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,50,22.0,,4,8,,14,0.60,7,32,-25,-2.99,-2.58,1,20,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Fabien Garcia,fr FRA,DF,Nîmes,23,1994,2,1,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,54,3.2,,1,1,,4,2.00,3,1,+2,+1.67,+0.69,0,1,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
