Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
16.0,Wed,2019-12-04,19:00,Saint-Étienne,3.1,4–1,1.4,Nice,20138.0,Stade Geoffroy-Guichard,Thomas Léonard,Ligue-1,13,2019-2020
16.0,Wed,2019-12-04,19:00,Dijon,1.5,2–2,1.4,Montpellier,11926.0,Stade Gaston Gérard,François Letexier,Ligue-1,13,2019-2020
16.0,Wed,2019-12-04,19:00,Metz,1.0,0–1,0.9,Rennes,14214.0,Stade Saint-Symphorien,Karim Abed,Ligue-1,13,2019-2020
16.0,Wed,2019-12-04,19:00,Toulouse,1.8,1–2,3.4,Monaco,13030.0,Stadium Municipal,Willy Delajod,Ligue-1,13,2019-2020
16.0,Wed,2019-12-04,21:05,Paris S-G,2.8,2–0,0.4,Nantes,47485.0,Parc des Princes,Amaury Delerue,Ligue-1,13,2019-2020
17.0,Fri,2019-12-06,19:00,Lille,1.9,1–0,0.4,Brest,32682.0,Stade Pierre-Mauroy,Eric Wattellier,Ligue-1,13,2019-2020
17.0,Fri,2019-12-06,20:45,Nîmes,0.3,0–4,2.8,Lyon,12801.0,Stade des Costières,Olivier Thual,Ligue-1,13,2019-2020
17.0,Sat,2019-12-07,17:30,Montpellier,0.3,1–3,1.1,Paris S-G,20197.0,Stade de la Mosson,Antony Gautier,Ligue-1,13,2019-2020
17.0,Sat,2019-12-07,20:00,Rennes,1.7,2–1,1.0,Angers,25656.0,Roazhon Park,Amaury Delerue,Ligue-1,13,2019-2020
17.0,Sat,2019-12-07,20:00,Monaco,2.2,3–0,0.3,Amiens,4203.0,Stade Louis II.,Jeremy Stinat,Ligue-1,13,2019-2020
17.0,Sat,2019-12-07,20:00,Nice,2.1,4–1,1.4,Metz,14967.0,Stade de Nice,Jérémie Pignard,Ligue-1,13,2019-2020
17.0,Sat,2019-12-07,20:00,Strasbourg,2.1,4–2,1.4,Toulouse,23634.0,Stade de la Meinau,Johan Hamel,Ligue-1,13,2019-2020
17.0,Sun,2019-12-08,15:00,Reims,0.9,3–1,0.6,Saint-Étienne,14512.0,Stade Auguste-Delaune II,Stéphanie Frappart,Ligue-1,13,2019-2020
17.0,Sun,2019-12-08,17:00,Nantes,1.3,1–0,0.3,Dijon,16001.0,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
17.0,Sun,2019-12-08,21:00,Marseille,1.5,3–1,0.1,Bordeaux,52079.0,Orange Vélodrome,Mikael Lesage,Ligue-1,13,2019-2020
18.0,Fri,2019-12-13,20:45,Lille,1.9,2–1,1.4,Montpellier,30170.0,Stade Pierre-Mauroy,Jérôme Brisard,Ligue-1,13,2019-2020
18.0,Sat,2019-12-14,17:30,Metz,1.1,1–1,1.2,Marseille,20586.0,Stade Saint-Symphorien,Willy Delajod,Ligue-1,13,2019-2020
18.0,Sat,2019-12-14,20:00,Angers,1.1,0–0,0.5,Monaco,9959.0,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Ligue-1,13,2019-2020
18.0,Sat,2019-12-14,20:00,Brest,1.9,0–0,0.9,Nice,13042.0,Stade Francis-Le Blé,Franck Schneider,Ligue-1,13,2019-2020
18.0,Sat,2019-12-14,20:00,Amiens,0.5,1–1,0.5,Dijon,10530.0,Stade de la Licorne,Thomas Léonard,Ligue-1,13,2019-2020
18.0,Sat,2019-12-14,20:00,Toulouse,0.4,0–1,1.2,Reims,12577.0,Stadium Municipal,Clément Turpin,Ligue-1,13,2019-2020
