Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
12.0,Sat,2019-11-09,15:00,Brescia,0.7,0–4,3.4,Torino,13500.0,Stadio Mario Rigamonti,Marco Guida,Serie-A,11,2019-2020
12.0,Sat,2019-11-09,18:00,Inter,2.9,2–1,1.4,Hellas Verona,66202.0,Stadio Giuseppe Meazza,Paolo Valeri,Serie-A,11,2019-2020
12.0,Sat,2019-11-09,20:45,Napoli,1.2,0–0,1.0,Genoa,22947.0,Stadio San Paolo,Giampaolo Calvarese,Serie-A,11,2019-2020
12.0,Sun,2019-11-10,12:30,Cagliari,2.7,5–2,1.0,Fiorentina,16316.0,Sardegna Arena,Federico La Penna,Serie-A,11,2019-2020
12.0,Sun,2019-11-10,15:00,Sampdoria,0.5,0–0,0.7,Atalanta,19799.0,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Serie-A,11,2019-2020
12.0,Sun,2019-11-10,15:00,Lazio,3.5,4–2,2.4,Lecce,35000.0,Stadio Olimpico,Gianluca Manganiello,Serie-A,11,2019-2020
12.0,Sun,2019-11-10,15:00,Udinese,1.3,0–0,2.1,SPAL,21621.0,Dacia Arena,Davide Massa,Serie-A,11,2019-2020
12.0,Sun,2019-11-10,18:00,Parma,1.4,2–0,0.6,Roma,18532.0,Stadio Ennio Tardini,Michael Fabbri,Serie-A,11,2019-2020
12.0,Sun,2019-11-10,20:45,Juventus,1.2,1–0,0.6,Milan,40478.0,Allianz Stadium,Fabio Maresca,Serie-A,11,2019-2020
13.0,Sat,2019-11-23,15:00,Atalanta,2.4,1–3,1.2,Juventus,20899.0,Stadio Atleti Azzurri d'Italia,Gianluca Rocchi,Serie-A,11,2019-2020
13.0,Sat,2019-11-23,18:00,Milan,0.8,1–1,0.9,Napoli,61658.0,Stadio Giuseppe Meazza,Daniele Orsato,Serie-A,11,2019-2020
13.0,Sat,2019-11-23,20:45,Torino,0.5,0–3,1.6,Inter,26059.0,Stadio Olimpico di Torino,Fabio Maresca,Serie-A,11,2019-2020
13.0,Sun,2019-11-24,12:30,Bologna,0.7,2–2,1.3,Parma,21419.0,Stadio Renato Dall'Ara,Rosario Abisso,Serie-A,11,2019-2020
13.0,Sun,2019-11-24,15:00,Sassuolo,1.1,1–2,1.2,Lazio,10000.0,Stadio Citt del Tricolore,Daniele Chiffi,Serie-A,11,2019-2020
13.0,Sun,2019-11-24,15:00,Roma,2.5,3–0,0.4,Brescia,33695.0,Stadio Olimpico,Marco Di Bello,Serie-A,11,2019-2020
