Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
9.0,Sat,2020-10-31,21:00,Nantes,1.7,0–3,2.1,Paris S-G,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Ligue-1,13,2020-2021
9.0,Sun,2020-11-01,13:00,Saint-tienne,0.7,0–1,0.6,Montpellier,,Stade Geoffroy-Guichard,Jrme Miguelgorry,Ligue-1,13,2020-2021
9.0,Sun,2020-11-01,15:00,Reims,0.7,2–1,1.9,Strasbourg,,Stade Auguste-Delaune II,Eric Wattellier,Ligue-1,13,2020-2021
9.0,Sun,2020-11-01,15:00,Nmes,1.1,0–1,1.5,Metz,,Stade des Costires,Amaury Delerue,Ligue-1,13,2020-2021
9.0,Sun,2020-11-01,15:00,Dijon,0.4,0–0,1.1,Lorient,,Stade Gaston Grard,Aurlien Petit,Ligue-1,13,2020-2021
9.0,Sun,2020-11-01,15:00,Angers,0.4,0–3,2.3,Nice,,Stade Raymond Kopa,Jeremy Stinat,Ligue-1,13,2020-2021
9.0,Sun,2020-11-01,17:00,Monaco,3.0,4–0,0.3,Bordeaux,,Stade Louis II.,Ruddy Buquet,Ligue-1,13,2020-2021
9.0,Sun,2020-11-01,21:00,Lille,0.5,1–1,0.8,Lyon,,Stade Pierre-Mauroy,Mikael Lesage,Ligue-1,13,2020-2021
10.0,Fri,2020-11-06,21:00,Strasbourg,0.3,0–1,0.1,Marseille,,Stade de la Meinau,Johan Hamel,Ligue-1,13,2020-2021
10.0,Sat,2020-11-07,17:00,Bordeaux,0.6,0–2,1.5,Montpellier,,Stade Matmut-Atlantique,Antony Gautier,Ligue-1,13,2020-2021
10.0,Sat,2020-11-07,21:00,Paris S-G,0.9,3–0,1.1,Rennes,,Parc des Princes,Benot Bastien,Ligue-1,13,2020-2021
10.0,Sun,2020-11-08,13:00,Brest,1.2,3–2,2.4,Lille,,Stade Francis-Le Bl,Florent Batta,Ligue-1,13,2020-2021
10.0,Sun,2020-11-08,15:00,Nmes,1.5,1–5,3.2,Angers,,Stade des Costires,Franck Schneider,Ligue-1,13,2020-2021
10.0,Sun,2020-11-08,15:00,Lens,1.5,4–4,1.4,Reims,,Stade Bollaert-Delelis,Thomas Lonard,Ligue-1,13,2020-2021
10.0,Sun,2020-11-08,15:00,Lorient,1.8,0–2,1.7,Nantes,,Stade Yves Allainmat - Le Moustoir,Stphanie Frappart,Ligue-1,13,2020-2021
10.0,Sun,2020-11-08,15:00,Metz,2.1,1–1,2.3,Dijon,,Stade Saint-Symphorien,Willy Delajod,Ligue-1,13,2020-2021
10.0,Sun,2020-11-08,17:00,Nice,0.7,1–2,1.5,Monaco,,Stade de Nice,Karim Abed,Ligue-1,13,2020-2021
10.0,Sun,2020-11-08,21:00,Lyon,2.5,2–1,1.7,Saint-tienne,,Groupama Stadium,Franois Letexier,Ligue-1,13,2020-2021
11.0,Fri,2020-11-20,19:00,Rennes,1.9,0–1,0.7,Bordeaux,,Roazhon Park,Karim Abed,Ligue-1,13,2020-2021
11.0,Fri,2020-11-20,21:00,Monaco,3.2,3–2,1.7,Paris S-G,,Stade Louis II.,Clment Turpin,Ligue-1,13,2020-2021
11.0,Sat,2020-11-21,17:00,Brest,0.9,4–1,1.3,Saint-tienne,,Stade Francis-Le Bl,Thomas Lonard,Ligue-1,13,2020-2021
11.0,Sun,2020-11-22,13:00,Nantes,1.2,1–1,1.6,Metz,,Stade de la Beaujoire - Louis Fonteneau,Benot Millot,Ligue-1,13,2020-2021
11.0,Sun,2020-11-22,15:00,Dijon,0.6,0–1,1.5,Lens,,Stade Gaston Grard,Eric Wattellier,Ligue-1,13,2020-2021
11.0,Sun,2020-11-22,15:00,Reims,1.0,0–1,1.1,Nmes,,Stade Auguste-Delaune II,Jeremy Stinat,Ligue-1,13,2020-2021
11.0,Sun,2020-11-22,15:00,Montpellier,1.7,4–3,3.4,Strasbourg,,Stade de la Mosson,Jrme Brisard,Ligue-1,13,2020-2021
