Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,League Name,League ID,Season
37.0,Sat,2019-05-18,21:00,Lille,2.8,5–0,1.3,Angers,42704.0,Stade Pierre-Mauroy,FranÃ§ois Letexier,Match Report,,Ligue-1,13,2018-2019
37.0,Sat,2019-05-18,21:00,Bordeaux,0.7,0–1,1.3,Reims,14247.0,Stade Matmut-Atlantique,Eric Wattellier,Match Report,,Ligue-1,13,2018-2019
37.0,Sat,2019-05-18,21:00,Montpellier,0.9,1–1,0.7,Nantes,16063.0,Stade de la Mosson,Ruddy Buquet,Match Report,,Ligue-1,13,2018-2019
37.0,Sat,2019-05-18,21:00,Lyon,2.7,4–0,0.3,Caen,51408.0,Groupama Stadium,Amaury Delerue,Match Report,,Ligue-1,13,2018-2019
37.0,Sat,2019-05-18,21:00,Monaco,0.8,2–0,0.6,Amiens,10188.0,Stade Louis II.,ClÃ©ment Turpin,Match Report,,Ligue-1,13,2018-2019
37.0,Sat,2019-05-18,21:00,Strasbourg,1.7,0–2,0.8,Rennes,25086.0,Stade de la Meinau,Thomas LÃ©onard,Match Report,,Ligue-1,13,2018-2019
37.0,Sat,2019-05-18,21:00,Toulouse,1.7,2–5,2.3,Marseille,24293.0,Stadium Municipal,Franck Schneider,Match Report,,Ligue-1,13,2018-2019
37.0,Sat,2019-05-18,21:00,Saint-Étienne,1.6,3–0,1.0,Nice,36759.0,Stade Geoffroy-Guichard,Antony Gautier,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Rennes,2.4,3–1,1.4,Lille,28185.0,Roazhon Park,Olivier Thual,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Angers,1.8,1–1,1.3,Saint-Étienne,16011.0,Stade Raymond Kopa,Johan Hamel,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Nîmes,1.5,2–3,1.4,Lyon,14986.0,Stade des CostiÃ¨res,FranÃ§ois Letexier,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Nice,1.4,2–0,2.0,Monaco,23356.0,Stade de Nice,Ruddy Buquet,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Reims,1.1,3–1,1.8,Paris S-G,20299.0,Stade Auguste-Delaune II,Nicolas Rainville,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Nantes,1.5,0–1,0.9,Strasbourg,30636.0,Stade de la Beaujoire - Louis Fonteneau,Karim Abed,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Dijon,1.1,2–1,0.5,Toulouse,14050.0,Stade Gaston GÃ©rard,Mikael Lesage,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Amiens,2.0,2–1,1.2,Guingamp,11932.0,Stade de la Licorne,Amaury Delerue,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Caen,0.6,0–1,1.0,Bordeaux,19355.0,Stade Michel d'Ornano,ClÃ©ment Turpin,Match Report,,Ligue-1,13,2018-2019
38.0,Fri,2019-05-24,21:05,Marseille,1.4,1–0,0.7,Montpellier,53788.0,Orange VÃ©lodrome,Antony Gautier,Match Report,,Ligue-1,13,2018-2019
