Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
Fabio Daprel,ch SUI,DF,ch Lugano,26,1991,4,4,360,4.0,1,0,1,0,0,3,0,0.25,0.00,0.25,0.25,0.25,4,2,50.0,1.00,0.50,0.25,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,66.7,,4,0,,1,1.50,7,9,-2,-0.50,-0.50,0,10,0,0,0,Europa-League,19,2017-2018
Palkó Dárdai,hu HUN,MF,de Hertha BSC,18,1999,2,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,3,1,33.3,3.07,1.02,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,16.3,,0,1,,0,2.00,1,1,0,0.00,+0.20,0,1,0,0,0,Europa-League,19,2017-2018
Vladimír Darida,cz CZE,MF,de Hertha BSC,26,1990,2,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5,0,0.0,3.81,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,21.9,,1,1,,0,0.50,0,0,0,0.00,+0.21,0,1,0,0,0,Europa-League,19,2017-2018
Eli Dasa,il ISR,DF,il Maccabi Tel Aviv,24,1992,2,1,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,15.4,,0,1,,0,3.00,0,0,0,0.00,+1.38,0,1,0,0,0,Europa-League,19,2017-2018
Ofir Davidzada,il ISR,DF,il Maccabi Tel Aviv,26,1991,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1,0,0.0,0.17,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,100.0,,6,0,,0,1.86,1,8,-7,-1.17,,0,3,0,0,0,Europa-League,19,2017-2018
Tom Davies,eng ENG,MF,eng Everton,19,1998,3,3,247,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,3,2,66.7,1.09,0.73,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,45.7,,2,0,,0,1.57,4,8,-4,-1.46,-0.23,0,7,0,0,0,Europa-League,19,2017-2018
William De Amorim,br BRA,MF,ro FCSB,25,1991,1,1,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,5.7,,0,0,,2,0.00,0,2,-2,-4.39,-4.52,0,0,0,0,0,Europa-League,19,2017-2018
Davy De fauw,be BEL,DF,be Zulte Waregem,36,1981,6,5,467,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2,2,100.0,0.39,0.39,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,86.5,,4,1,,0,1.17,7,12,-5,-0.96,-0.96,0,1,0,0,0,Europa-League,19,2017-2018
Gertjan De Mets,be BEL,MF,be Zulte Waregem,30,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,33.3,,2,0,,2,2.00,3,1,+2,+1.00,+2.75,0,3,0,0,0,Europa-League,19,2017-2018
Nill De Pauw,cd COD,"FW,MF",be Zulte Waregem,27,1990,6,5,350,3.9,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,7,1,14.3,1.80,0.26,0.14,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,64.8,,1,1,,0,1.17,5,10,-5,-1.29,-1.29,0,7,0,0,0,Europa-League,19,2017-2018
