Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%Penalty,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att_launched,Cmp%,Att_passes,Thr,Launch%,AvgLen,Att_goal_kicks,Launch_goal_kicks,AvgLen_goal_kicks,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
Alex Meret,it ITA,GK,it Napoli,24,1997,4,4,360,4.0,6,1.50,6,1,16.7,2,0,2,1,25.0,1,1,0,0,0.0,0,1,0,5.5,0.74,-0.5,-0.14,3,11,27.3,68,9,14.7,24.1,24,4.2,17.0,22,1,4.5,3,0.75,18.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,80.0,90,4,0,,0,1.50,10,6,+4,+1.00,+1.00,11.4,4.8,+6.5,+1.63,+0.49,0,0,0,0,0,0,0,0,0,15,0,0,,Europa-League,19,2021-2022
Thomas Mikkelsen,dk DEN,GK,dk Brøndby,38,1983,1,1,90,1.0,2,2.00,9,7,77.8,0,0,1,0,0.0,0,0,0,0,,0,1,0,2.0,0.31,0.0,+0.05,6,13,46.2,27,8,48.1,35.1,5,0.0,19.6,9,0,0.0,0,0.00,13.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,20.0,90,1,0,,4,0.00,0,2,-2,-2.00,-0.75,0.8,2.2,-1.4,-1.36,-0.15,0,0,0,0,0,0,0,0,0,4,0,0,,Europa-League,19,2021-2022
Cezary Miszta,pl POL,GK,pl Legia Warsaw,20,2001,4,4,360,4.0,10,2.50,26,17,69.2,1,0,3,1,25.0,2,2,0,0,0.0,0,2,0,9.2,0.28,-0.8,-0.21,12,65,18.5,86,24,48.8,40.5,40,57.5,44.6,34,2,5.9,1,0.25,10.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,80.0,90,4,0,,1,0.75,3,10,-7,-1.75,-2.75,3.6,9.9,-6.3,-1.57,-1.31,0,0,1,0,0,0,0,0,0,25,0,0,,Europa-League,19,2021-2022
Fernando Muslera,uy URU,GK,tr Galatasaray,35,1986,5,5,450,5.0,3,0.60,21,17,85.7,3,2,0,3,60.0,1,0,0,1,,0,0,0,6.4,0.27,+3.4,+0.68,33,83,39.8,171,19,34.5,36.8,42,57.1,48.2,46,5,10.9,4,0.80,16.2,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,5,0,,0,2.00,7,3,+4,+0.80,,5.4,7.6,-2.2,-0.45,,0,1,1,0,0,0,0,0,0,24,0,0,,Europa-League,19,2021-2022
Florin Niță,ro ROU,GK,cz Sparta Prague,34,1987,4,4,360,4.0,7,1.75,19,12,63.2,1,1,2,2,50.0,0,0,0,0,,0,0,0,7.5,0.41,+0.5,+0.13,38,86,44.2,127,19,55.9,43.2,20,75.0,51.2,31,3,9.7,5,1.25,17.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,80.0,90,4,0,,1,1.00,4,7,-3,-0.75,+1.25,4.2,6.0,-1.7,-0.44,+0.88,0,0,1,0,0,0,0,0,0,27,0,0,,Europa-League,19,2021-2022
Alexander Nübel,de GER,GK,fr Monaco,25,1996,5,5,450,5.0,3,0.60,11,8,72.7,3,2,0,2,40.0,0,0,0,0,,0,1,0,2.7,0.25,-0.3,-0.06,34,122,27.9,174,18,47.1,40.8,52,76.9,55.3,38,4,10.5,4,0.80,14.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,5,0,,0,2.20,6,3,+3,+0.60,,6.2,4.0,+2.2,+0.43,,0,0,1,0,0,0,0,0,0,26,0,0,,Europa-League,19,2021-2022
David Ospina,co COL,GK,it Napoli,33,1988,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,0,0,0,2.0,0.40,0.0,+0.01,4,6,66.7,25,2,24.0,26.8,3,0.0,20.3,5,0,0.0,2,2.00,18.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,20.0,90,1,0,,4,1.00,2,2,0,0.00,-1.00,1.9,0.7,+1.1,+1.14,-0.49,0,0,0,0,0,0,0,0,0,1,0,0,,Europa-League,19,2021-2022
Berke Özer,tr TUR,GK,tr Fenerbahçe,21,2000,2,2,180,2.0,1,0.50,5,4,80.0,1,0,1,1,50.0,0,0,0,0,,0,0,0,0.9,0.18,-0.1,-0.04,10,37,27.0,38,8,52.6,44.4,23,73.9,56.2,38,3,7.9,0,0.00,11.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,40.0,90,2,0,,2,1.33,4,2,+2,+1.00,+2.00,2.0,1.8,+0.2,+0.10,-0.84,0,0,2,0,0,0,0,0,0,9,0,0,,Europa-League,19,2021-2022
Sergio Padt,nl NED,GK,bg Ludogorets,31,1990,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,0,0,0,0.7,0.17,-0.3,-0.33,3,14,21.4,27,7,22.2,28.3,10,80.0,54.4,4,0,0.0,1,1.00,14.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,20.0,90,1,0,,4,0.00,0,1,-1,-1.00,0.00,0.5,1.0,-0.5,-0.55,+0.73,0,0,0,0,0,0,0,0,0,6,0,1,0.0,Europa-League,19,2021-2022
Zoran Popović,rs SRB,GK,rs Red Star,33,1988,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,0,0,0,0.0,0.03,0.0,+0.03,6,21,28.6,25,0,68.0,48.6,4,100.0,64.5,7,3,42.9,1,1.00,14.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,20.0,90,1,0,,4,3.00,1,0,+1,+1.00,+0.75,1.4,0.7,+0.6,+0.64,+0.85,0,0,0,0,0,0,0,0,0,5,0,0,,Europa-League,19,2021-2022
